source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition
P0DP23	P48995	1	0	1	1	0	1
P0DP25	P48995	1	0	1	1	0	1
P0DP24	P48995	1	0	1	1	0	1
Q03135	P48995	1	1	0	1	1	0
P14416	P48995	1	1	0	1	1	0
Q99750	P48995	1	0	1	1	0	1
Q14571	P48995	1	1	0	1	1	0
P29966	P48995	1	0	1	1	0	1
Q13255	P48995	1	1	0	1	1	0
Q13586	P48995	1	1	0	1	1	0
P48995	Q13507	1	1	0	1	1	0
Q13507	P48995	1	1	0	1	1	0
P48995	Q9UBN4	1	1	0	1	1	0
Q9UBN4	P48995	1	1	0	1	1	0
P48995	Q9UL62	1	1	0	1	1	0
Q9UL62	P48995	1	1	0	1	1	0
P48995	Q9Y210	1	0	1	1	0	1
P48995	Q13563	1	1	0	1	1	0
Q13563	P48995	1	1	0	1	1	0
P48995	Q9HBA0	1	1	0	1	1	0
Q9HBA0	P48995	1	1	0	1	1	0
P48995	Q9H1D0	1	0	1	1	0	1
P0DP23	Q13507	1	0	1	1	0	1
P0DP25	Q13507	1	0	1	1	0	1
P0DP24	Q13507	1	0	1	1	0	1
P41180	Q13507	1	1	0	1	1	0
P19235	Q13507	1	1	0	1	1	0
Q86YM7	Q13507	1	1	0	1	1	0
Q14643	Q13507	1	1	0	1	1	0
Q14573	Q13507	1	1	0	1	1	0
Q12797	Q13507	1	1	0	1	1	0
Q96D31	Q13507	1	1	0	1	1	0
Q13976	Q13507	1	0	1	1	0	1
Q9Y225	Q13507	1	0	1	1	0	1
P12931	Q13507	1	1	0	1	1	0
Q8TD43	Q13507	1	0	1	1	0	1
Q13563	Q13507	1	1	0	1	1	0
Q96J92	Q13507	1	0	1	1	0	1
P06241	Q9UBN4	1	0	0	0	0	0
O14745	Q9UBN4	1	1	0	1	1	0
Q9Y225	Q9UBN4	1	0	1	1	0	1
Q9NZU7	Q9UL62	1	0	1	1	0	1
