,name,primary_id_type,display_name,uniprot_id,hgnc_id,ensg_id,effect_on_ferroptosis,type,source_db
0,P22760,uniprot_id,AADAC,P22760,HGNC:17,ENSG00000114771,,protein,ferrdb_driver|ferrdb_suppressor
1,Q9NP58,uniprot_id,ABCB6,Q9NP58,HGNC:47,ENSG00000115657,,protein,ferrdb_driver|ferrdb_suppressor
2,O15440,uniprot_id,ABCC5,O15440,HGNC:56,ENSG00000114770,,protein,ferrdb_driver|ferrdb_suppressor
3,Q8N2K0,uniprot_id,ABHD12,Q8N2K0,HGNC:15868,ENSG00000100997,,protein,ferrdb_driver|ferrdb_suppressor
4,ACACA,uniprot_id,ACACA,Q13085,,,,protein,ferrdb_driver|ferrdb_suppressor
5,P11310,uniprot_id,ACADM,P11310,HGNC:89,ENSG00000117054,,protein,ferrdb_driver|ferrdb_suppressor
6,Q9BWD1,uniprot_id,ACAT2,Q9BWD1,HGNC:94,ENSG00000120437,,protein,ferrdb_driver|ferrdb_suppressor
7,ACO1,uniprot_id,ACO1,P21399,,,,protein,ferrdb_driver|ferrdb_suppressor
8,O00154,uniprot_id,ACOT7,O00154,HGNC:24157,ENSG00000097021,,protein,ferrdb_driver|ferrdb_suppressor
9,P33121,uniprot_id,ACSL1,P33121,HGNC:3569 ,ENSG00000151726,,protein,ferrdb_driver|ferrdb_suppressor
10,O95573,uniprot_id,ACSL3,O95573,HGNC:3570,ENSG00000123983,,protein,ferrdb_driver|ferrdb_suppressor
11,O60488,uniprot_id,ACSL4,O60488,HGNC:3571,ENSG00000068366,,protein,ferrdb_driver|ferrdb_marker|ferrdb_suppressor
12,O96019,uniprot_id,ACTL6A,O96019,HGNC:24124,ENSG00000136518,,protein,ferrdb_driver|ferrdb_suppressor
13,Q96A54,uniprot_id,ADIPOR1,Q96A54,HGNC:24040,ENSG00000159346,,protein,ferrdb_driver|ferrdb_suppressor
14,Q8IUX7,uniprot_id,AEBP1,Q8IUX7,HGNC:303,ENSG00000106624,,protein,ferrdb_driver|ferrdb_suppressor
15,Q15109,uniprot_id,AGER,Q15109,HGNC:320,ENSG00000204305,,protein,ferrdb_driver|ferrdb_suppressor
16,AHCY,uniprot_id,AHCY,P23526,,,,protein,ferrdb_driver|ferrdb_suppressor
17,P35869,uniprot_id,AHR,P35869,HGNC:348,ENSG00000106546,,protein,ferrdb_driver|ferrdb_suppressor
18,Q9BRQ8,uniprot_id,AIFM2,Q9BRQ8,HGNC:21411,ENSG00000042286,,protein,ferrdb_driver|ferrdb_suppressor
19,O14862,uniprot_id,AIM2,O14862,HGNC:357,ENSG00000163568,,protein,ferrdb_driver|ferrdb_suppressor
20,Q04828,uniprot_id,AKR1C1,Q04828,HGNC:384,ENSG00000187134,,protein,ferrdb_driver|ferrdb_suppressor
21,P52895,uniprot_id,AKR1C2,P52895,HGNC:385,ENSG00000151632,,protein,ferrdb_driver|ferrdb_suppressor
22,P42330,uniprot_id,AKR1C3,P42330,HGNC:386,ENSG00000196139,,protein,ferrdb_driver|ferrdb_suppressor
23,P31749,uniprot_id,AKT,P31749,HGNC:391,ENSG00000142208,,protein,ferrdb_driver|ferrdb_suppressor
24,P31749,uniprot_id,AKT1,P31749,HGNC:391,ENSG00000142208,,protein,ferrdb_driver|ferrdb_marker|ferrdb_suppressor
25,P51648,uniprot_id,ALDH3A2,P51648,HGNC:403,ENSG00000072210,,protein,ferrdb_driver|ferrdb_suppressor
26,Q92685,uniprot_id,ALG3,Q92685,HGNC:23056,ENSG00000214160,,protein,ferrdb_driver|ferrdb_suppressor
27,P16050,uniprot_id,ALOX15,P16050,HGNC:433,ENSG00000161905,,protein,ferrdb_driver|ferrdb_marker|ferrdb_suppressor
