,source,target,interaction_type
0,SLC7A11,Cystine,1
1,SQSTM1,KEAP1,-1
2,KEAP1,NFE2L2,-1
3,SLC7A11,GSH,1
4,HSPA5,GPX4,1
5,ATF4,HSPA5,1
6,ATF4,xCT,1
7,NFE2L2,xCT,1
8,HELLS,GLUT1,1
9,HELLS,SCD,1
10,HELLS,FADS2,1
11,SRC,STAT3,1
12,STAT3,ACSL4,-1
13,NFE2L2,SLC7A11,1
14,NFS1,TFRC,-1
15,TP53,CDKN1A,1
16,CDKN1A,GSH,1
17,FH,GPX4,1
18,NFE2L2,FTH1,1
19,NFE2L2,FPN,1
20,NFE2L2,HO-1,-1
21,SQSTM1,NFE2L2,1
22,ISCU,GSH,1
23,OTUB1,SLC7A11,1
24,CD44,SLC7A11,1
25,NF2,YAP,-1
26,ARNTL,EGLN2,-1
27,EGLN2,HIF1A,-1
28,LAMP2,Cysteine,1
29,Cysteine,GSH,1
30,ZFP36,ATG16L1,-1
31,CBS,Cystathionine,1
32,Cystathionine,Cysteine,1
33,NFE2L2,CBS,1
34,xCT,GPX4,1
35,GCH1,Phospholipid,1
36,HMGB1,ACSL4,1
37,AMPK,SREBP1,-1
38,SREBP1,SCD1,1
39,RRM2,GSS,1
40,GSS,GSH,1
41,SREBP2,TF,1
42,TF,ROS,-1
43,FZD7,GPX4,1
44,SUV39H1,DPP4,-1
45,ATF2,NRF2,1
46,LKB1,AMPK,1
47,AMPK,ACC1,-1
48,ACC1,FAS,1
49,NFE2L2,FOCAD,-1
50,FOCAD,FAK,1
51,NEDD4L,LTF,-1
52,SCD,SLC7A11,1
53,SCD,GPX4,1
54,NFE2L2,GSH,1
55,SLC7A11,Glutathione,1
56,TFAP2A,Fe2+,-1
57,CP,Fe2+,-1
58,ARF6,ACSL4,-1
59,GDF15,SLC7A11,1
60,KDM3B,SLC7A11,1
61,PARK7,GSH,1
62,PARK7,AHCY,1
63,SIAH2,GPX4,1
64,NEDD4,GSH,1
65,NEDD4,GSSG,-1
66,AIFM2,ESCRT-III,-1
67,AR,GPX4,1
68,CBS,GSH,1
69,CHMP5,HMGB1,-1
70,CHMP6,HMGB1,-1
71,ZFP36,GSH,1
72,LAMP2,GSH,1
73,MTF1,ATM,-1
74,ATM,FPN1,-1
75,FPN1,Fe,-1
76,ATM,FTH1,-1
77,FTH1,Fe,-1
78,ATM,FTL,-1
79,FTL,Fe,-1
80,COPZ1,NCOA4,-1
81,NCOA4,ferritin,-1
82,NUPR1,LCN2,1
83,USP35,FPN,1
84,HSF1,PROM2,1
85,HIF1A,PTGS2,-1
86,HIF1A,GSH,1
87,RRM2,glutathione,1
88,PDSS2,Nrf2,1
89,Nrf2,GSH,1
90,SIRT1,GPX4,1
91,TYRO3,AKT,1
92,AKT,NRF2,1
93,SIRT6,GPX4,1
94,SIRT6,Fe2+,-1
95,SIRT6,GSH,1
96,SIRT6,NRF2,1
97,KIF20A,NUAK1,1
98,NUAK1,NRF2,1
99,NRF2,GPX4,1
100,ECH1,GPX4,1
101,ETV4,SLC7A11,1
102,VCP,GSH,1
103,RBMS1,SLC7A11,1
104,KDM4A,GSH,1
105,KDM4A,SLC7A11,1
106,MGST1,ALOX5,-1
107,CAMKK2,NRF2,1
108,SOX2,SLC7A11,1
109,SRSF9,GPX4,1
110,MEF2C,NF2,1
111,NF2,GPX4,1
112,NF2,ACSL4,-1
113,CDH1,GPX4,1
114,CDH1,ACSL4,-1
115,HSPB1,SLC7A11,1
116,HSPB1,HO-1,-1
117,PEDS1,FAR1,-1
118,CDC25A,ERBB2,1
119,G6PD,POR,-1
120,TRIB2,TFRC,-1
121,SLC7A11,NRF2,1
122,PTPN18,p-P38,-1
123,p-P38,GPX4,-1
124,FTH1,ACSL4,-1
125,FTL,FSP1,1
126,ABCC5,SLC7A11,1
127,LCN2,ETS1,1
128,ETS1,SLC7A11,1
129,GALNT14,EGFR,1
130,EGFR,mTOR,1
131,KLHDC3,p14ARF,-1
132,p14ARF,NRF2,-1
133,NRF2,SLC7A11,1
134,p14ARF,MDM2,-1
135,MDM2,p53,-1
136,p53,SLC7A11,-1
137,USP11,NRF2,1
138,NFE2L1,GPX4,1
139,HLF,GGT1,1
140,GGT1,GPX4,1
141,TIGAR,ROS,-1
142,ROS,AMPK,1
143,AMPK,SCD1,-1
144,STAT3,GPX4,1
145,STAT3,SLC7A11,1
146,STAT3,FTH1,1
147,LRP8,GPX4,1
148,DKK1,SLC7A11,1
149,NKAP,SLC7A11,1
150,PSTK,GPX4,1
151,LTBP2,GPX4,1
152,NUP62,Keap1,-1
153,Keap1,NRF2,-1
154,ALG3,GPX4,1
155,ALG3,SLC7A11,1
156,ALG3,NRF2,1
157,LCN2,GPX4,1
158,FAM98A,SLC7A11,1
159,STEAP3,TP53,-1
160,STEAP3,SLC7A11,1
161,CUL9,HNRNPC,-1
162,HNRNPC,MATE1,1
163,SCD1,SLC7A11,1
164,SLC7A11,GPX4,1
165,NOD1,SLC40A1,1
166,NOD1,GPX4,1
167,NOD1,SPIC,1
168,NOD1,HMOX1,1
169,NOD1,COL1A1,1
170,NOTCH3,GPX4,1
171,NOTCH3,PRDX6,1
172,ENO1,CNOT6,1
173,CNOT6,IRP1,-1
174,IRP1,Mfrn1,1
175,IDO1,NRF2,1
176,ATF6,PLA2G4A,1
177,PDGFRA,GPX4,1
178,PDGFRA,SLC7A11,1
179,NFE2L2,VEGFR2,-1
180,NFE2L2,Keap1,-1
181,STAT6,CBP,-1
182,HNRNPD,NRF2,1
183,HNRNPD,ATF3,-1
184,ESR1,NEDD4L,1
185,NEDD4L,CD71,-1
186,SRSF1,NFE2L2,1
187,FADS2,GPX4,1
188,ADIPOR1,SLC7A11,1
189,ADIPOR1,NRF2,1
190,SLC3A2,mTOR,-1
191,FXR1,GPX4,1
192,ZSCAN25,p53,-1
193,CCT3,SLC7A11,1
194,AURKA,GPX4,1
195,AURKA,xCT,1
196,AURKA,PTGS2,-1
197,AURKA,ACSL4,-1
198,SENP1,A20,-1
199,A20,ACSL4,1
200,A20,SLC7A11,-1
201,SENP1,GPX4,1
202,NUP62,SLC7A11,1
203,GCH1,HO-1,-1
204,GCH1,NRF2,1
205,UFL1,SLC7A11,1
206,UFL1,P53,-1
207,BMP4,GPX4,1
208,SUFU,YAP,-1
209,YAP,ACSL4,1
210,PLA2G6,SLC7A11,1
211,PTPMT1,ACSL4,-1
212,PTPMT1,SLC7A11,1
213,KAT6B,STAT3,1
214,METTL3,YTHDF1,1
215,KDM4A,HIF1A,1
216,NSUN5,FTH1,1
217,NSUN5,FTL,1
218,PRDX6,NRF2,1
219,APOC1,KEAP1,-1
220,KEAP1,NRF2,-1
221,APOC1,CBS,1
222,CBS,GPX4,1
223,PSEN1,GPX4,1
224,PSEN2,GPX4,1
225,HNRNPL,YY1,1
226,YY1,PD-L1,-1
227,TCF4,GPX4,1
228,FGFR4,SLC7A11,1
