,name,primary_id_type,display_name,uniprot_id,hgnc_id,ensg_id,effect_on_ferroptosis,source_table,type
0,Q04828,uniprot_id,AKR1C1,Q04828,HGNC:384,ENSG00000187134,suppresses ferroptosis,ferrdb_suppressor,
1,P52895,uniprot_id,AKR1C2,P52895,HGNC:385,ENSG00000151632,suppresses ferroptosis,ferrdb_suppressor,
2,P42330,uniprot_id,AKR1C3,P42330,HGNC:386,ENSG00000196139,suppresses ferroptosis,ferrdb_suppressor,
3,P06400,uniprot_id,RB1,P06400,HGNC:9884,ENSG00000139687,suppresses ferroptosis,ferrdb_suppressor,
4,P04792,uniprot_id,HSPB1,P04792,HGNC:5246,ENSG00000106211,suppresses ferroptosis,ferrdb_suppressor,
5,Q00613,uniprot_id,HSF1,Q00613,HGNC:5224,ENSG00000185122,suppresses ferroptosis,ferrdb_suppressor,
6,Q9UPY5,uniprot_id,SLC7A11,Q9UPY5,HGNC:11059,ENSG00000151012,suppresses ferroptosis,ferrdb_suppressor,
7,P15559,uniprot_id,NQO1,P15559,HGNC:2874,ENSG00000181019,suppresses ferroptosis,ferrdb_suppressor,
8,P09601,uniprot_id,HMOX1,P09601,HGNC:5013,ENSG00000100292,suppresses ferroptosis,ferrdb_suppressor,
9,P02794,uniprot_id,FTH1,P02794,HGNC:3976,ENSG00000167996,suppresses ferroptosis,ferrdb_suppressor,
10,P13640,uniprot_id,MT1G,P13640,HGNC:7399,ENSG00000125144,suppresses ferroptosis,ferrdb_suppressor,
11,P36969,uniprot_id,GPX4,P36969,HGNC:4556,ENSG00000167468,suppresses ferroptosis,ferrdb_suppressor,
15,O00767,uniprot_id,SCD,O00767,HGNC:10571,ENSG00000099194,suppresses ferroptosis,ferrdb_suppressor,
16,O95864,uniprot_id,FADS2,O95864,HGNC:3575,ENSG00000134824,suppresses ferroptosis,ferrdb_suppressor,
17,P29590,uniprot_id,PML,P29590,HGNC:9113,ENSG00000140464,suppresses ferroptosis,ferrdb_suppressor,
18,Q9H3D4,uniprot_id,TP63,Q9H3D4,HGNC:15979,ENSG00000073282,suppresses ferroptosis,ferrdb_suppressor,
20,P45880,uniprot_id,VDAC2,P45880,HGNC:12672,ENSG00000165637,suppresses ferroptosis,ferrdb_suppressor,
21,P35520,uniprot_id,CBS,P35520,HGNC:1550,ENSG00000160200,suppresses ferroptosis,ferrdb_suppressor,
23,O95573,uniprot_id,ACSL3,O95573,HGNC:3570,ENSG00000123983,suppresses ferroptosis,ferrdb_suppressor,
24,P40763,uniprot_id,STAT3,P40763,HGNC:11364,ENSG00000168610,suppresses ferroptosis,ferrdb_suppressor,
25,Q16790,uniprot_id,CA9,Q16790,HGNC:1383,ENSG00000107159,suppresses ferroptosis,ferrdb_suppressor,
26,Q9HC24,uniprot_id,TMBIM4,Q9HC24,HGNC:24257,ENSG00000155957,suppresses ferroptosis,ferrdb_suppressor,
27,Q9NZZ3,uniprot_id,CHMP5,Q9NZZ3,HGNC:26942,ENSG00000086065,suppresses ferroptosis,ferrdb_suppressor,
28,Q96FZ7,uniprot_id,CHMP6,Q96FZ7,HGNC:25675,ENSG00000176108,suppresses ferroptosis,ferrdb_suppressor,
29,Q9NTG7,uniprot_id,SIRT3,Q9NTG7,HGNC:14931,ENSG00000142082,suppresses ferroptosis,ferrdb_suppressor,
31,O15382,uniprot_id,BCAT2,O15382,HGNC:977,ENSG00000105552,suppresses ferroptosis,ferrdb_suppressor,
33,O60733,uniprot_id,PLA2G6,O60733,HGNC:9039,ENSG00000184381,suppresses ferroptosis,ferrdb_suppressor,
34,Q99497,uniprot_id,PARK7,Q99497,HGNC:16369,ENSG00000116288,suppresses ferroptosis,ferrdb_suppressor,
35,P12830,uniprot_id,CDH1,P12830,HGNC:1748,ENSG00000039068,suppresses ferroptosis,ferrdb_suppressor,
36,P02787,uniprot_id,TF,P02787,HGNC:11740,ENSG00000091513,suppresses ferroptosis,ferrdb_suppressor,
37,Q8N4E7,uniprot_id,FTMT,Q8N4E7,HGNC:17345,ENSG00000181867,suppresses ferroptosis,ferrdb_suppressor,
40,Q8N2K0,uniprot_id,ABHD12,Q8N2K0,HGNC:15868,ENSG00000100997,suppresses ferroptosis,ferrdb_suppressor,
41,Q00059,uniprot_id,TFAM,Q00059,HGNC:11741,ENSG00000108064,suppresses ferroptosis,ferrdb_suppressor,
42,Q07869,uniprot_id,PPARA,Q07869,HGNC:9232,ENSG00000186951,suppresses ferroptosis,ferrdb_suppressor,
