,name,primary_id_type,display_name,uniprot_id,hgnc_id,ensg_id,effect_on_ferroptosis,source_table,type
0,CXCR2,Symbol,CXCR2,,,,,ferrdb_suppressor,protein
1,JAK2,Symbol,JAK2,,,,,ferrdb_suppressor,protein
2,HIF1A,Symbol,HIF1A,,,,,ferrdb_suppressor,protein
3,MILIP,Symbol,MILIP,,,,,ferrdb_suppressor,protein
4,ZNF263,Symbol,ZNF263,,,,,ferrdb_suppressor,protein
5,CNOT6,Symbol,CNOT6,,,,,ferrdb_suppressor,protein
6,FADD,Symbol,FADD,,,,,ferrdb_suppressor,protein
7,SNAI1P1,Symbol,SNAI1P1,,,,,ferrdb_suppressor,protein
8,HNRNPC,Symbol,HNRNPC,,,,,ferrdb_suppressor,protein
9,APOC1,Symbol,APOC1,,,,,ferrdb_suppressor,protein
10,NRF1,Symbol,NRF1,,,,,ferrdb_suppressor,protein
11,REM1,Symbol,REM1,,,,,ferrdb_suppressor,protein
12,GABPA,Symbol,GABPA,,,,,ferrdb_suppressor,protein
13,SREBF1,Symbol,SREBF1,,,,,ferrdb_suppressor,protein
14,LINC00976,Symbol,LINC00976,,,,,ferrdb_suppressor,protein
15,STK11,Symbol,STK11,,,,,ferrdb_suppressor,protein
16,CYP27A1,Symbol,CYP27A1,,,,,ferrdb_suppressor,protein
17,TXNIP,Symbol,TXNIP,,,,,ferrdb_suppressor,protein
18,TFRC,Symbol,TFRC,,,,,ferrdb_suppressor,protein
19,ALOX5,Symbol,ALOX5,,,,,ferrdb_suppressor,protein
20,STAT2,Symbol,STAT2,,,,,ferrdb_suppressor,protein
21,CD274,Symbol,CD274,,,,,ferrdb_suppressor,protein
22,SIRT4,Symbol,SIRT4,,,,,ferrdb_suppressor,protein
23,FAR1-IT1,Symbol,FAR1-IT1,,,,,ferrdb_suppressor,protein
24,LOC102724560,Symbol,LOC102724560,,,,,ferrdb_suppressor,protein
25,SLC47A1,Symbol,SLC47A1,,,,,ferrdb_suppressor,protein
26,DUOX1,Symbol,DUOX1,,,,,ferrdb_suppressor,protein
27,NFKB1,Symbol,NFKB1,,,,,ferrdb_suppressor,protein
28,KLF2,Symbol,KLF2,,,,,ferrdb_suppressor,protein
29,CTNNB1,Symbol,CTNNB1,,,,,ferrdb_suppressor,protein
30,E2F6P1,Symbol,E2F6P1,,,,,ferrdb_suppressor,protein
31,SLC2A1,Symbol,SLC2A1,,,,,ferrdb_suppressor,protein
32,ATF3,Symbol,ATF3,,,,,ferrdb_suppressor,protein
33,HAMP,Symbol,HAMP,,,,,ferrdb_suppressor,protein
34,KEAP1,Symbol,KEAP1,,,,,ferrdb_suppressor,protein
35,FBXO10,Symbol,FBXO10,,,,,ferrdb_suppressor,protein
36,YY1P2,Symbol,YY1P2,,,,,ferrdb_suppressor,protein
37,SOCS2,Symbol,SOCS2,,,,,ferrdb_suppressor,protein
38,VDAC1,Symbol,VDAC1,,,,,ferrdb_suppressor,protein
39,PGK1,Symbol,PGK1,,,,,ferrdb_suppressor,protein
40,TFEB,Symbol,TFEB,,,,,ferrdb_suppressor,protein
41,GSH,Symbol,GSH,,,,,ferrdb_suppressor,compound
42,YAP1,Symbol,YAP1,,,,,ferrdb_suppressor,protein
43,LOC102724197,Symbol,LOC102724197,,,,,ferrdb_suppressor,protein
44,POMC,Symbol,POMC,,,,,ferrdb_suppressor,protein
45,FTH1,Symbol,FTH1,,,,,ferrdb_suppressor,protein
46,CDKN2A,Symbol,CDKN2A,,,,,ferrdb_suppressor,protein
47,ZEB1,Symbol,ZEB1,,,,,ferrdb_suppressor,protein
48,LAMTOR3,Symbol,LAMTOR3,,,,,ferrdb_suppressor,protein
49,COL1A1,Symbol,COL1A1,,,,,ferrdb_suppressor,protein
50,NUAK1,Symbol,NUAK1,,,,,ferrdb_suppressor,protein
51,ALOX15,Symbol,ALOX15,,,,,ferrdb_suppressor,protein
52,GPX4,Symbol,GPX4,,,,,ferrdb_suppressor,protein
53,SLC25A10,Symbol,SLC25A10,,,,,ferrdb_suppressor,protein
54,HMGCS1,Symbol,HMGCS1,,,,,ferrdb_suppressor,protein
55,VAMP8,Symbol,VAMP8,,,,,ferrdb_suppressor,protein
56,SMANTIS,Symbol,SMANTIS,,,,,ferrdb_suppressor,protein
57,HMOX1,Symbol,HMOX1,,,,,ferrdb_suppressor,protein
58,PRKAA2,Symbol,PRKAA2,,,,,ferrdb_suppressor,protein
59,PLSCR2,Symbol,PLSCR2,,,,,ferrdb_suppressor,protein
60,PAK5,Symbol,PAK5,,,,,ferrdb_suppressor,protein
61,EBF3,Symbol,EBF3,,,,,ferrdb_suppressor,protein
62,FOCAD,Symbol,FOCAD,,,,,ferrdb_suppressor,protein
63,LTF,Symbol,LTF,,,,,ferrdb_suppressor,protein
64,MYC,Symbol,MYC,,,,,ferrdb_suppressor,protein
65,NFKBIA,Symbol,NFKBIA,,,,,ferrdb_suppressor,protein
66,PLA2G4A,Symbol,PLA2G4A,,,,,ferrdb_suppressor,protein
67,FOXO1,Symbol,FOXO1,,,,,ferrdb_suppressor,protein
68,IREB2,Symbol,IREB2,,,,,ferrdb_suppressor,protein
69,SREBF2,Symbol,SREBF2,,,,,ferrdb_suppressor,protein
70,GSS,Symbol,GSS,,,,,ferrdb_suppressor,protein
71,PINK1,Symbol,PINK1,,,,,ferrdb_suppressor,protein
72,FTLP9,Symbol,FTLP9,,,,,ferrdb_suppressor,protein
73,SERPINF1,Symbol,SERPINF1,,,,,ferrdb_suppressor,protein
74,PRAP1,Symbol,PRAP1,,,,,ferrdb_suppressor,protein
75,ANKRD20A20P,Symbol,ANKRD20A20P,,,,,ferrdb_suppressor,protein
76,WWTR1,Symbol,WWTR1,,,,,ferrdb_suppressor,protein
77,HELLS,Symbol,HELLS,,,,,ferrdb_suppressor,protein
78,TOB2P1,Symbol,TOB2P1,,,,,ferrdb_suppressor,protein
79,BRAT1,Symbol,BRAT1,,,,,ferrdb_suppressor,protein
80,PTGS2,Symbol,PTGS2,,,,,ferrdb_suppressor,protein
81,ROS1,Symbol,ROS1,,,,,ferrdb_suppressor,protein
82,MIR494,Symbol,MIR494,,,,,ferrdb_suppressor,protein
83,HSPH1,Symbol,HSPH1,,,,,ferrdb_suppressor,protein
84,SQSTM1,Symbol,SQSTM1,,,,,ferrdb_suppressor,protein
85,ACACA,Symbol,ACACA,,,,,ferrdb_suppressor,protein
86,FABP1,Symbol,FABP1,,,,,ferrdb_suppressor,protein
87,ACO1,Symbol,ACO1,,,,,ferrdb_suppressor,protein
88,SLC7A11,Symbol,SLC7A11,,,,,ferrdb_suppressor,protein
89,PISD,Symbol,PISD,,,,,ferrdb_suppressor,protein
90,MFGE8,Symbol,MFGE8,,,,,ferrdb_suppressor,protein
91,RFESDP1,Symbol,RFESDP1,,,,,ferrdb_suppressor,protein
92,ACSL4,Symbol,ACSL4,,,,,ferrdb_suppressor,protein
93,CYB5R2,Symbol,CYB5R2,,,,,ferrdb_suppressor,protein
94,Fe2+,Symbol,Fe2+,,,,,ferrdb_suppressor,compound
95,GSK3B,Symbol,GSK3B,,,,,ferrdb_suppressor,protein
96,LOC124905344,Symbol,LOC124905344,,,,,ferrdb_suppressor,protein
97,KDR,Symbol,KDR,,,,,ferrdb_suppressor,protein
98,TRIM59,Symbol,TRIM59,,,,,ferrdb_suppressor,protein
99,APEX1,Symbol,APEX1,,,,,ferrdb_suppressor,protein
100,NDOR1,Symbol,NDOR1,,,,,ferrdb_suppressor,protein
101,SLC40A1,Symbol,SLC40A1,,,,,ferrdb_suppressor,protein
102,GLS,Symbol,GLS,,,,,ferrdb_suppressor,protein
103,NCOA4,Symbol,NCOA4,,,,,ferrdb_suppressor,protein
104,PARAL1,Symbol,PARAL1,,,,,ferrdb_suppressor,protein
105,ATG16L1,Symbol,ATG16L1,,,,,ferrdb_suppressor,protein
106,IST1,Symbol,IST1,,,,,ferrdb_suppressor,protein
107,LOC111413017,Symbol,LOC111413017,,,,,ferrdb_suppressor,protein
108,SLC25A37,Symbol,SLC25A37,,,,,ferrdb_suppressor,protein
109,SPIC,Symbol,SPIC,,,,,ferrdb_suppressor,protein
110,PPARA,Symbol,PPARA,,,,,ferrdb_suppressor,protein
111,RNF139,Symbol,RNF139,,,,,ferrdb_suppressor,protein
112,GSSG,Symbol,GSSG,,,,,ferrdb_suppressor,compound
113,HERC2P2,Symbol,HERC2P2,,,,,ferrdb_suppressor,protein
114,NDP,Symbol,NDP,,,,,ferrdb_suppressor,protein
115,DPP4,Symbol,DPP4,,,,,ferrdb_suppressor,protein
116,RPP38,Symbol,RPP38,,,,,ferrdb_suppressor,protein
117,HMGB1,Symbol,HMGB1,,,,,ferrdb_suppressor,protein
118,STAC,Symbol,STAC,,,,,ferrdb_suppressor,protein
119,POR,Symbol,POR,,,,,ferrdb_suppressor,protein
120,LACTB,Symbol,LACTB,,,,,ferrdb_suppressor,protein
121,DHCR7,Symbol,DHCR7,,,,,ferrdb_suppressor,protein
122,GSTK1,Symbol,GSTK1,,,,,ferrdb_suppressor,protein
123,EGLN2,Symbol,EGLN2,,,,,ferrdb_suppressor,protein
124,AHCY,Symbol,AHCY,,,,,ferrdb_suppressor,protein
125,STMN1,Symbol,STMN1,,,,,ferrdb_suppressor,protein
126,CCNB1,Symbol,CCNB1,,,,,ferrdb_suppressor,protein
127,PTK2,Symbol,PTK2,,,,,ferrdb_suppressor,protein
128,ATL1,Symbol,ATL1,,,,,ferrdb_suppressor,protein
129,TRAF6,Symbol,TRAF6,,,,,ferrdb_suppressor,protein
130,MARCHF6,Symbol,MARCHF6,,,,,ferrdb_suppressor,protein
131,Q9UPY5,uniprot_id,SLC7A11,Q9UPY5,HGNC:11059,ENSG00000151012,,ferrdb_suppressor,protein
132,P36969,uniprot_id,GPX4,P36969,HGNC:4556,ENSG00000167468,,ferrdb_suppressor,protein
133,Q04828,uniprot_id,AKR1C1,Q04828,HGNC:384,ENSG00000187134,,ferrdb_suppressor,protein
134,P52895,uniprot_id,AKR1C2,P52895,HGNC:385,ENSG00000151632,,ferrdb_suppressor,protein
135,P42330,uniprot_id,AKR1C3,P42330,HGNC:386,ENSG00000196139,,ferrdb_suppressor,protein
136,P06400,uniprot_id,RB1,P06400,HGNC:9884,ENSG00000139687,,ferrdb_suppressor,protein
137,P04792,uniprot_id,HSPB1,P04792,HGNC:5246,ENSG00000106211,,ferrdb_suppressor,protein
138,Q00613,uniprot_id,HSF1,Q00613,HGNC:5224,ENSG00000185122,,ferrdb_suppressor,protein
139,Q16236,uniprot_id,NFE2L2,Q16236,HGNC:7782,ENSG00000116044,,ferrdb_suppressor,protein
140,Q13501,uniprot_id,SQSTM1,Q13501,HGNC:11280,ENSG00000161011,,ferrdb_suppressor,protein
141,P15559,uniprot_id,NQO1,P15559,HGNC:2874,ENSG00000181019,,ferrdb_suppressor,protein
142,P09601,uniprot_id,HMOX1,P09601,HGNC:5013,ENSG00000100292,,ferrdb_suppressor,protein
143,P02794,uniprot_id,FTH1,P02794,HGNC:3976,ENSG00000167996,,ferrdb_suppressor,protein
144,P15941,uniprot_id,MUC1,P15941,HGNC:7508,ENSG00000185499,,ferrdb_suppressor,protein
145,P13640,uniprot_id,MT1G,P13640,HGNC:7399,ENSG00000125144,,ferrdb_suppressor,protein
146,Q9NP59,uniprot_id,SLC40A1,Q9NP59,HGNC:10909,ENSG00000138449,,ferrdb_suppressor,protein
147,Q9NZ45,uniprot_id,CISD1,Q9NZ45,HGNC:30880,ENSG00000122873,,ferrdb_suppressor,protein
148,P11021,uniprot_id,HSPA5,P11021,HGNC:5238,ENSG00000044574,,ferrdb_suppressor,protein
149,P18848,uniprot_id,ATF4,P18848,HGNC:786,ENSG00000128272,,ferrdb_suppressor,protein
150,P04637,uniprot_id,TP53,P04637,HGNC:11998,ENSG00000141510,,ferrdb_suppressor,protein
151,Q9NRZ9,uniprot_id,HELLS,Q9NRZ9,HGNC:4861,ENSG00000119969,,ferrdb_suppressor,protein
152,O00767,uniprot_id,SCD,O00767,HGNC:10571,ENSG00000099194,,ferrdb_suppressor,protein
153,O95864,uniprot_id,FADS2,O95864,HGNC:3575,ENSG00000134824,,ferrdb_suppressor,protein
154,P12931,uniprot_id,SRC,P12931,HGNC:11283,ENSG00000197122,,ferrdb_suppressor,protein
155,P40763,uniprot_id,STAT3,P40763,HGNC:11364,ENSG00000168610,,ferrdb_suppressor,protein
156,P29590,uniprot_id,PML,P29590,HGNC:9113,ENSG00000140464,,ferrdb_suppressor,protein
157,Q9Y697,uniprot_id,NFS1,Q9Y697,HGNC:15910,ENSG00000244005,,ferrdb_suppressor,protein
158,Q9H3D4,uniprot_id,TP63,Q9H3D4,HGNC:15979,ENSG00000073282,,ferrdb_suppressor,protein
159,P38936,uniprot_id,CDKN1A,P38936,HGNC:1784,ENSG00000124762,,ferrdb_suppressor,protein
160,P45880,uniprot_id,VDAC2,P45880,HGNC:12672,ENSG00000165637,,ferrdb_suppressor,protein
161,P07954,uniprot_id,FH,P07954,HGNC:3700,ENSG00000091483,,ferrdb_suppressor,protein
162,Q8N5K1,uniprot_id,CISD2,Q8N5K1,HGNC:24212,ENSG00000145354,,ferrdb_suppressor,protein
163,P35520,uniprot_id,CBS,P35520,HGNC:1550,ENSG00000160200,,ferrdb_suppressor,protein
164,Q9H1K1,uniprot_id,ISCU,Q9H1K1,HGNC:29882,ENSG00000136003,,ferrdb_suppressor,protein
165,O95573,uniprot_id,ACSL3,O95573,HGNC:3570,ENSG00000123983,,ferrdb_suppressor,protein
166,Q96FW1,uniprot_id,OTUB1,Q96FW1,HGNC:23077,ENSG00000167770,,ferrdb_suppressor,protein
167,P16070,uniprot_id,CD44,P16070,HGNC:1681,ENSG00000026508,,ferrdb_suppressor,protein
168,O60885,uniprot_id,BRD4,O60885,HGNC:13575,ENSG00000141867,,ferrdb_suppressor,protein
169,P30041,uniprot_id,PRDX6,P30041,HGNC:16753,ENSG00000117592,,ferrdb_suppressor,protein
170,P58004,uniprot_id,SESN2,P58004,HGNC:20746,ENSG00000130766,,ferrdb_suppressor,protein
171,P35240,uniprot_id,NF2,P35240,HGNC:7773,ENSG00000186575,,ferrdb_suppressor,protein
172,O00327,uniprot_id,ARNTL,O00327,HGNC:701,ENSG00000133794,,ferrdb_suppressor,protein
173,Q16665,uniprot_id,HIF1A,Q16665,HGNC:4910,ENSG00000100644,,ferrdb_suppressor,protein
174,Q16790,uniprot_id,CA9,Q16790,HGNC:1383,ENSG00000107159,,ferrdb_suppressor,protein
175,Q9HC24,uniprot_id,TMBIM4,Q9HC24,HGNC:24257,ENSG00000155957,,ferrdb_suppressor,not sure
176,Q9BRQ8,uniprot_id,AIFM2,Q9BRQ8,HGNC:21411,ENSG00000042286,,ferrdb_suppressor,protein
177,P13473,uniprot_id,LAMP2,P13473,HGNC:6501,ENSG00000005893,,ferrdb_suppressor,protein
178,P26651,uniprot_id,ZFP36,P26651,HGNC:12862,ENSG00000128016,,ferrdb_suppressor,protein
179,Q8N271,uniprot_id,PROM2,Q8N271,HGNC:20685,ENSG00000155066,,ferrdb_suppressor,protein
180,Q9NZZ3,uniprot_id,CHMP5,Q9NZZ3,HGNC:26942,ENSG00000086065,,ferrdb_suppressor,protein
181,Q96FZ7,uniprot_id,CHMP6,Q96FZ7,HGNC:25675,ENSG00000176108,,ferrdb_suppressor,protein
182,Q03135,uniprot_id,CAV1,Q03135,HGNC:1527,ENSG00000105974,,ferrdb_suppressor,protein
183,P30793,uniprot_id,GCH1,P30793,HGNC:4193,ENSG00000131979,,ferrdb_suppressor,protein
184,Q9NTG7,uniprot_id,SIRT3,Q9NTG7,HGNC:14931,ENSG00000142082,,ferrdb_suppressor,protein
185,O00625,uniprot_id,PIR,O00625,HGNC:30048,ENSG00000087842,,ferrdb_suppressor,protein
