uniprot_id,is_core,source
A6NCE7,1,kegg
O14867,1,wikipathways
O60488,1,kegg;wikipathways
O75845,1,GO
O95352,1,kegg;wikipathways
O95573,1,kegg;wikipathways
P00450,1,kegg;wikipathways
P02786,1,kegg;wikipathways
P02787,1,kegg;wikipathways
P02792,1,kegg;wikipathways
P02794,1,GO;kegg;wikipathways
P04035,1,wikipathways
P04156,1,kegg
P04637,1,kegg;wikipathways
P04792,1,wikipathways
P04839,1,kegg;wikipathways
P08195,1,kegg;wikipathways
P09601,1,GO;kegg
P15559,1,GO
P15735,1,wikipathways
P16050,1,kegg;wikipathways
P16435,1,wikipathways
P21673,1,kegg;wikipathways
P27487,1,wikipathways
P30793,1,wikipathways
P32929,1,wikipathways
P33121,1,kegg;wikipathways
P35520,1,wikipathways
P36969,1,GO;kegg;wikipathways
P37268,1,wikipathways
P42330,1,wikipathways
P45880,1,kegg
P48200,1,wikipathways
P48506,1,kegg;wikipathways
P48507,1,kegg;wikipathways
P48637,1,kegg;wikipathways
P49281,1,kegg;wikipathways
P52895,1,wikipathways
Q04828,1,wikipathways
Q13501,1,GO
Q13772,1,kegg;wikipathways
Q15043,1,kegg;wikipathways
Q15365,1,kegg
Q15366,1,kegg;wikipathways
Q15758,1,wikipathways
Q16236,1,GO
Q16881,1,wikipathways
Q4PNE6,1,wikipathways
Q53SS8,1,wikipathways
Q53YK7,1,wikipathways
Q5JSD1,1,wikipathways
Q5U3C3,1,GO
Q658P3,1,kegg;wikipathways
Q6FH11,1,wikipathways
Q6P1A2,1,kegg;wikipathways
Q7Z3H3,1,wikipathways
Q8N4E7,1,kegg;wikipathways
Q92504,1,GO
Q92982,1,GO
Q96F10,1,kegg;wikipathways
Q96FZ7,1,wikipathways
Q96H96,1,wikipathways
Q9BRQ8,1,GO;wikipathways
Q9BXW4,1,kegg;wikipathways
Q9C0K1,1,kegg;wikipathways
Q9GZQ8,1,kegg;wikipathways
Q9H1Y0,1,kegg
Q9H2H9,1,wikipathways
Q9H492,1,kegg;wikipathways
Q9NP59,1,kegg
Q9NPH5,1,wikipathways
Q9NZ45,1,wikipathways
Q9NZZ3,1,wikipathways
Q9UBM7,1,GO
Q9UKU0,1,kegg;wikipathways
Q9ULC5,1,kegg;wikipathways
Q9UPY5,1,GO;kegg;wikipathways
Q9Y277,1,kegg;wikipathways
Q9Y5S8,1,wikipathways
