,uniprot_id,is_core,source,tax_id,pathways
0,A6NCE7,1,kegg,9606,
1,O14867,1,wikipathways,9606,R-HSA-9707587;R-HSA-9707616;R-HSA-9708530;R-HSA-9818027
2,O60488,1,kegg;wikipathways,9606,R-HSA-434313;R-HSA-75876
3,O75845,1,GO,9606,R-HSA-2426168;R-HSA-6807047;R-HSA-6807062
4,O95352,1,kegg;wikipathways,9606,R-HSA-1632852;R-HSA-6798695;R-HSA-6802952;R-HSA-983168
5,O95573,1,kegg;wikipathways,9606,R-HSA-434313;R-HSA-75876
6,P00450,1,kegg;wikipathways,9606,R-HSA-381426;R-HSA-425410;R-HSA-5619049;R-HSA-5619060;R-HSA-8957275;R-HSA-917937
7,P02786,1,kegg;wikipathways,9606,R-HSA-432722;R-HSA-8856825;R-HSA-8856828;R-HSA-8980692;R-HSA-9013026;R-HSA-9013106;R-HSA-9013148;R-HSA-9013149;R-HSA-9013404;R-HSA-9013406;R-HSA-9013407;R-HSA-9013408;R-HSA-9013409;R-HSA-9013423;R-HSA-917977;R-HSA-9696270;R-HSA-9696273;R-HSA-9725554
8,P02787,1,kegg;wikipathways,9606,R-HSA-114608;R-HSA-381426;R-HSA-8856825;R-HSA-8856828;R-HSA-8957275;R-HSA-917937;R-HSA-917977
9,P02792,1,kegg;wikipathways,9606,R-HSA-3000480;R-HSA-432722;R-HSA-6798695;R-HSA-917937
10,P02794,1,GO;kegg;wikipathways,9606,R-HSA-3000480;R-HSA-432722;R-HSA-6798695;R-HSA-917937
11,P04035,1,wikipathways,9606,R-HSA-191273;R-HSA-1989781;R-HSA-2426168;R-HSA-9619665
12,P04156,1,kegg,9606,R-HSA-419037;R-HSA-9609523
13,P04637,1,kegg;wikipathways,9606,R-HSA-111448;R-HSA-139915;R-HSA-1912408;R-HSA-2559580;R-HSA-2559584;R-HSA-2559585;R-HSA-2559586;R-HSA-3232118;R-HSA-349425;R-HSA-390471;R-HSA-5620971;R-HSA-5628897;R-HSA-5689880;R-HSA-5689896;R-HSA-5693565;R-HSA-6785807;R-HSA-6796648;R-HSA-6803204;R-HSA-6803205;R-HSA-6803207;R-HSA-6803211;R-HSA-6804114;R-HSA-6804115;R-HSA-6804116;R-HSA-6804754;R-HSA-6804756;R-HSA-6804757;R-HSA-6804758;R-HSA-6804759;R-HSA-6804760;R-HSA-6811555;R-HSA-69473;R-HSA-69481;R-HSA-69541;R-HSA-69895;R-HSA-8852276;R-HSA-8853884;R-HSA-8941855;R-HSA-8943724;R-HSA-9723905;R-HSA-9725370;R-HSA-9758274;R-HSA-9819196;R-HSA-983231;R-HSA-9833482
14,P04792,1,wikipathways,9606,R-HSA-4420097;R-HSA-450408;R-HSA-5687128;R-HSA-9009391
15,P04839,1,kegg;wikipathways,9606,R-HSA-1222556;R-HSA-1236973;R-HSA-3299685;R-HSA-4420097;R-HSA-5668599;R-HSA-6798695;R-HSA-9013149;R-HSA-9013404;R-HSA-9013423
16,P08195,1,kegg;wikipathways,9606,R-HSA-210991;R-HSA-352230;R-HSA-5660862;R-HSA-71240
17,P09601,1,GO;kegg,9606,R-HSA-189483;R-HSA-6785807;R-HSA-844456;R-HSA-917937;R-HSA-9609523;R-HSA-9660826;R-HSA-9707564;R-HSA-9707587;R-HSA-9707616;R-HSA-9818027
18,P15559,1,GO,9606,R-HSA-350562;R-HSA-9818027
19,P15735,1,wikipathways,9606,R-HSA-70221
20,P16050,1,kegg;wikipathways,9606,R-HSA-2142691;R-HSA-2142712;R-HSA-2142770;R-HSA-6785807;R-HSA-9018677;R-HSA-9018681;R-HSA-9018896;R-HSA-9023661;R-HSA-9025106;R-HSA-9026286
21,P16435,1,wikipathways,9606,R-HSA-211897
22,P21673,1,kegg;wikipathways,9606,R-HSA-351200
23,P27487,1,wikipathways,9606,R-HSA-381771;R-HSA-400511
24,P30793,1,wikipathways,9606,R-HSA-1474151
25,P32929,1,wikipathways,9606,R-HSA-1614558;R-HSA-1614603;R-HSA-2408508
26,P33121,1,kegg;wikipathways,9606,R-HSA-1989781;R-HSA-2046105;R-HSA-2046106;R-HSA-75876;R-HSA-9841922
27,P35520,1,wikipathways,9606,R-HSA-1614603;R-HSA-2408508
28,P36969,1,GO;kegg;wikipathways,9606,R-HSA-2142688;R-HSA-2142712;R-HSA-2142770;R-HSA-9018676;R-HSA-9018896;R-HSA-9020265;R-HSA-9023661
29,P37268,1,wikipathways,9606,R-HSA-191273;R-HSA-1989781;R-HSA-2426168
30,P42330,1,wikipathways,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807;R-HSA-2162123;R-HSA-5365859;R-HSA-975634
31,P45880,1,kegg,9606,R-HSA-5205685;R-HSA-5689880;R-HSA-8949215
32,P48200,1,wikipathways,9606,R-HSA-917937
33,P48506,1,kegg;wikipathways,9606,R-HSA-174403;R-HSA-5578999;R-HSA-9818027
34,P48507,1,kegg;wikipathways,9606,R-HSA-174403;R-HSA-5578999;R-HSA-9818027
35,P48637,1,kegg;wikipathways,9606,R-HSA-174403;R-HSA-5579006
36,P49281,1,kegg;wikipathways,9606,R-HSA-425410;R-HSA-5619048;R-HSA-917937
37,P52895,1,wikipathways,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807
38,Q04828,1,wikipathways,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807;R-HSA-975634;R-HSA-9757110
39,Q13501,1,GO,9606,R-HSA-205043;R-HSA-209543;R-HSA-209560;R-HSA-5205685;R-HSA-8951664;R-HSA-9020702;R-HSA-9664873;R-HSA-9725370;R-HSA-9755511;R-HSA-9759194
40,Q13772,1,kegg;wikipathways,9606,R-HSA-9841922
41,Q15043,1,kegg;wikipathways,9606,R-HSA-442380
42,Q15365,1,kegg,9606,R-HSA-72163;R-HSA-72203
43,Q15366,1,kegg;wikipathways,9606,R-HSA-72163;R-HSA-72203;R-HSA-936440;R-HSA-9692916
44,Q15758,1,wikipathways,9606,R-HSA-352230;R-HSA-9013149;R-HSA-9013406;R-HSA-9013407;R-HSA-9013409;R-HSA-9013423
45,Q16236,1,GO,9606,R-HSA-8951664;R-HSA-9679191;R-HSA-9707587;R-HSA-9707616;R-HSA-9755511;R-HSA-9759194;R-HSA-9762114;R-HSA-9818025;R-HSA-9818026;R-HSA-9818027;R-HSA-9818028;R-HSA-9818030;R-HSA-9818032;R-HSA-9818035;R-HSA-9818749
46,Q16881,1,wikipathways,9606,R-HSA-1989781;R-HSA-2408550;R-HSA-3299685;R-HSA-499943;R-HSA-5263617;R-HSA-5336415;R-HSA-5628897;R-HSA-9818027
47,Q4PNE6,1,wikipathways,9606,
48,Q53SS8,1,wikipathways,9606,
49,Q53YK7,1,wikipathways,9606,
50,Q5JSD1,1,wikipathways,9606,
51,Q5U3C3,1,GO,9606,
52,Q658P3,1,kegg;wikipathways,9606,R-HSA-6803204;R-HSA-9013148;R-HSA-9013405;R-HSA-9013406;R-HSA-9013409;R-HSA-9035034;R-HSA-917977
53,Q6FH11,1,wikipathways,9606,
54,Q6P1A2,1,kegg;wikipathways,9606,R-HSA-1482788;R-HSA-1482801;R-HSA-1482839
55,Q7Z3H3,1,wikipathways,9606,
56,Q8N4E7,1,kegg;wikipathways,9606,R-HSA-917937
57,Q92504,1,GO,9606,R-HSA-442380
58,Q92982,1,GO,9606,
59,Q96F10,1,kegg;wikipathways,9606,
60,Q96FZ7,1,wikipathways,9606,R-HSA-162588;R-HSA-1632852;R-HSA-5620971;R-HSA-917729;R-HSA-9610379;R-HSA-9615710;R-HSA-9668328;R-HSA-9679504;R-HSA-9694676
61,Q96H96,1,wikipathways,9606,R-HSA-1268020;R-HSA-2142789
62,Q9BRQ8,1,GO;wikipathways,9606,R-HSA-6803204
63,Q9BXW4,1,kegg;wikipathways,9606,R-HSA-1632852
64,Q9C0K1,1,kegg;wikipathways,9606,R-HSA-442380
65,Q9GZQ8,1,kegg;wikipathways,9606,R-HSA-1632852;R-HSA-5205685;R-HSA-8854214;R-HSA-8934903;R-HSA-9664873;R-HSA-9679504;R-HSA-9694676;R-HSA-9754560;R-HSA-9755511
66,Q9H1Y0,1,kegg,9606,R-HSA-1632852;R-HSA-5205685;R-HSA-8934903;R-HSA-936440
67,Q9H2H9,1,wikipathways,9606,R-HSA-210455;R-HSA-352230
68,Q9H492,1,kegg;wikipathways,9606,R-HSA-1632852;R-HSA-5205685;R-HSA-8934903
69,Q9NP59,1,kegg,9606,R-HSA-425410;R-HSA-5619049;R-HSA-5619060;R-HSA-5655799;R-HSA-917937
70,Q9NPH5,1,wikipathways,9606,R-HSA-3299685;R-HSA-9702518;R-HSA-9703465
71,Q9NZ45,1,wikipathways,9606,
72,Q9NZZ3,1,wikipathways,9606,R-HSA-162588;R-HSA-917729
73,Q9UBM7,1,GO,9606,R-HSA-2426168;R-HSA-6807047;R-HSA-6807062
74,Q9UKU0,1,kegg;wikipathways,9606,R-HSA-75876
75,Q9ULC5,1,kegg;wikipathways,9606,R-HSA-75876
76,Q9UPY5,1,GO;kegg;wikipathways,9606,R-HSA-210991;R-HSA-352230;R-HSA-9818027
77,Q9Y277,1,kegg;wikipathways,9606,R-HSA-5205685;R-HSA-5689880;R-HSA-8949215
78,Q9Y5S8,1,wikipathways,9606,R-HSA-5668599;R-HSA-9013149;R-HSA-9013423;R-HSA-9673324
79,A0A6I8PU40,0,ferrdb,9606,
80,A1L020,0,ferrdb,9606,
81,A1L3X4,0,ferreg,9606,
82,A5PLL7,0,ferrdb;ferreg,9606,
83,B1AH88,0,ferrdb,9606,
84,B8A405,0,ferreg,9606,
85,O00154,0,ferrdb,9606,R-HSA-77289
86,O00206,0,ferrdb;ferreg,9606,R-HSA-1236974;R-HSA-140534;R-HSA-166016;R-HSA-166058;R-HSA-166166;R-HSA-2562578;R-HSA-5602498;R-HSA-5603041;R-HSA-5686938;R-HSA-936964;R-HSA-937041;R-HSA-937072;R-HSA-9707616;R-HSA-975163;R-HSA-9820960;R-HSA-9824878;R-HSA-9833110
87,O00255,0,ferrdb;ferreg,9606,R-HSA-201722;R-HSA-2173796;R-HSA-3769402;R-HSA-381426;R-HSA-5626467;R-HSA-8957275;R-HSA-9772755
88,O00264,0,ferrdb;ferreg,9606,R-HSA-6798695
89,O00294,0,ferrdb,9606,
90,O00327,0,ferrdb;ferreg,9606,R-HSA-1368108;R-HSA-1989781;R-HSA-400253;R-HSA-9707616;R-HSA-9768919
91,O00391,0,ferrdb;ferreg,9606,R-HSA-114608;R-HSA-381426;R-HSA-6798695;R-HSA-8957275
92,O00425,0,ferrdb;ferreg,9606,R-HSA-428359
93,O00482,0,ferrdb,9606,R-HSA-210747;R-HSA-383280;R-HSA-4090294;R-HSA-9018519
94,O00483,0,ferrdb,9606,R-HSA-5628897;R-HSA-611105;R-HSA-9707564;R-HSA-9864848
95,O00487,0,ferreg,9606,R-HSA-1169091;R-HSA-1234176;R-HSA-1236974;R-HSA-1236978;R-HSA-174084;R-HSA-174113;R-HSA-174154;R-HSA-174178;R-HSA-174184;R-HSA-180534;R-HSA-180585;R-HSA-187577;R-HSA-195253;R-HSA-202424;R-HSA-211733;R-HSA-2467813;R-HSA-2871837;R-HSA-349425;R-HSA-350562;R-HSA-382556;R-HSA-450408;R-HSA-4608870;R-HSA-4641257;R-HSA-4641258;R-HSA-5358346;R-HSA-5362768;R-HSA-5607761;R-HSA-5607764;R-HSA-5610780;R-HSA-5610783;R-HSA-5610785;R-HSA-5632684;R-HSA-5658442;R-HSA-5668541;R-HSA-5676590;R-HSA-5678895;R-HSA-5687128;R-HSA-5689603;R-HSA-5689880;R-HSA-5689901;R-HSA-6798695;R-HSA-68867;R-HSA-68949;R-HSA-69017;R-HSA-69481;R-HSA-69601;R-HSA-75815;R-HSA-8852276;R-HSA-8854050;R-HSA-8939236;R-HSA-8939902;R-HSA-8941858;R-HSA-8948751;R-HSA-8951664;R-HSA-9010553;R-HSA-9020702;R-HSA-9604323;R-HSA-9755511;R-HSA-9762114;R-HSA-9824272;R-HSA-983168;R-HSA-9907900
96,O00625,0,ferrdb;ferreg,9606,R-HSA-8935690
97,O00716,0,ferrdb,9606,R-HSA-1912408;R-HSA-2559580;R-HSA-2559585;R-HSA-68911;R-HSA-69231;R-HSA-9661069
98,O00767,0,ferrdb,9606,R-HSA-2426168;R-HSA-75105;R-HSA-9029558;R-HSA-9841922
99,O14503,0,ferrdb,9606,R-HSA-1368108
100,O14508,0,ferrdb,9606,R-HSA-1266695;R-HSA-8951664;R-HSA-9706369;R-HSA-982772
101,O14521,0,ferrdb,9606,R-HSA-611105;R-HSA-71403;R-HSA-9854311
102,O14604,0,ferrdb;ferreg,9606,
103,O14686,0,ferrdb;ferreg,9606,R-HSA-201722;R-HSA-3214841;R-HSA-3769402;R-HSA-5617472;R-HSA-8936459;R-HSA-9772755;R-HSA-9818564;R-HSA-9841922
