UniProtAC,Gene_Name,tax_id,pathways,pr_funcs,molecular_function
P35354,PTGS2,9606,R-HSA-197264;R-HSA-2142770;R-HSA-2162123;R-HSA-6783783;R-HSA-6785807;R-HSA-9018677;R-HSA-9018679;R-HSA-9025094;R-HSA-9027604,"['GO:0019899', 'GO:0020037', 'GO:0046872', 'GO:0016702', 'GO:0004601', 'GO:0004666', 'GO:0042803']","['antioxidant activity', 'catalytic activity', 'binding']"
Q9BXW9,FANCD2,9606,R-HSA-6783310;R-HSA-6796648,['GO:0070182'],['binding']
Q9UPY5,SLC7A11,9606,R-HSA-210991;R-HSA-352230;R-HSA-9818027,"['GO:0015327', 'GO:0015179', 'GO:0140926']",['transporter activity']
P36969,GPX4,9606,R-HSA-2142688;R-HSA-2142712;R-HSA-2142770;R-HSA-9018676;R-HSA-9018896;R-HSA-9020265;R-HSA-9023661,"['GO:0004602', 'GO:0042802', 'GO:0047066', 'GO:0008430']","['antioxidant activity', 'binding', 'catalytic activity']"
Q04828,AKR1C1,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807;R-HSA-975634;R-HSA-9757110,"['GO:0047006', 'GO:0033703', 'GO:0047024', 'GO:0004033', 'GO:0004032', 'GO:0047044', 'GO:0047042', 'GO:0047023', 'GO:0032052', 'GO:0031406', 'GO:0035410', 'GO:0004303', 'GO:0047718', 'GO:0047086', 'GO:0016655', 'GO:0033764', 'GO:0047045', 'GO:0030283', 'GO:0047115']","['catalytic activity', 'binding']"
P52895,AKR1C2,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807,"['GO:0004032', 'GO:0047044', 'GO:0047023', 'GO:0032052', 'GO:0031406', 'GO:0004303', 'GO:0047718', 'GO:0047086', 'GO:0016655', 'GO:0047115']","['catalytic activity', 'binding']"
P42330,AKR1C3,9606,R-HSA-193368;R-HSA-193775;R-HSA-193807;R-HSA-2162123;R-HSA-5365859;R-HSA-975634,"['GO:0047020', 'GO:0047024', 'GO:0004033', 'GO:0004032', 'GO:0004745', 'GO:0052650', 'GO:0047044', 'GO:0047023', 'GO:0032052', 'GO:0047787', 'GO:0035410', 'GO:0004303', 'GO:0045550', 'GO:0045703', 'GO:0047086', 'GO:0016655', 'GO:0036131', 'GO:0047017', 'GO:0036130', 'GO:0001758', 'GO:0047045', 'GO:0047035']","['catalytic activity', 'binding']"
P06400,RB1,9606,R-HSA-113501;R-HSA-174178;R-HSA-2299718;R-HSA-2559584;R-HSA-2559585;R-HSA-69200;R-HSA-69202;R-HSA-69231;R-HSA-69656;R-HSA-8940973;R-HSA-9661069;R-HSA-9661070;R-HSA-9682706;R-HSA-9687136;R-HSA-9694686;R-HSA-9725371;R-HSA-9841922,"['GO:0097718', 'GO:0140297', 'GO:0042802', 'GO:0061676', 'GO:0019900', 'GO:0060090', 'GO:0051219', 'GO:0000977', 'GO:0061629', 'GO:0003714', 'GO:0031625']","['molecular adaptor activity', 'binding', 'transcription regulator activity']"
P04792,HSPB1,9606,R-HSA-4420097;R-HSA-450408;R-HSA-5687128;R-HSA-9009391,"['GO:0042802', 'GO:0044183', 'GO:0042803', 'GO:0019901', 'GO:0005080', 'GO:0008426', 'GO:0003723', 'GO:0061629', 'GO:0043130', 'GO:0051082']","['molecular function regulator activity', 'protein folding chaperone', 'binding', 'catalytic activity']"
Q00613,HSF1,9606,R-HSA-3371453;R-HSA-3371511;R-HSA-3371568;R-HSA-3371571;R-HSA-9646399;R-HSA-9841251,"['GO:0031490', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0001227', 'GO:0140296', 'GO:0031072', 'GO:0051879', 'GO:0042802', 'GO:1990841', 'GO:0046982', 'GO:0019901', 'GO:0000978', 'GO:0001162', 'GO:0043565', 'GO:1990837', 'GO:0098847', 'GO:0097677', 'GO:0000976', 'GO:0061770']","['binding', 'transcription regulator activity']"
Q16236,NFE2L2,9606,R-HSA-8951664;R-HSA-9679191;R-HSA-9707587;R-HSA-9707616;R-HSA-9755511;R-HSA-9759194;R-HSA-9762114;R-HSA-9818025;R-HSA-9818026;R-HSA-9818027;R-HSA-9818028;R-HSA-9818030;R-HSA-9818032;R-HSA-9818035;R-HSA-9818749,"['GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0140693', 'GO:0019904', 'GO:0000978', 'GO:0061629', 'GO:0043565', 'GO:0000976', 'GO:0001221', 'GO:0031625']","['molecular adaptor activity', 'binding', 'transcription regulator activity']"
Q13501,SQSTM1,9606,R-HSA-205043;R-HSA-209543;R-HSA-209560;R-HSA-5205685;R-HSA-8951664;R-HSA-9020702;R-HSA-9664873;R-HSA-9725370;R-HSA-9755511;R-HSA-9759194,"['GO:0019899', 'GO:0042802', 'GO:0035255', 'GO:0070530', 'GO:0140693', 'GO:0140313', 'GO:0019901', 'GO:0005080', 'GO:0140311', 'GO:0044877', 'GO:0030674', 'GO:0030971', 'GO:0042169', 'GO:0035591', 'GO:0038023', 'GO:0043130', 'GO:0031625', 'GO:0140036', 'GO:0008270']","['molecular transducer activity', 'molecular adaptor activity', 'binding', 'molecular sequestering activity']"
P15559,NQO1,9606,R-HSA-350562;R-HSA-9818027,"['GO:0004128', 'GO:0042802', 'GO:0003955', 'GO:0050136', 'GO:0008753', 'GO:0003723', 'GO:0004784']","['antioxidant activity', 'catalytic activity', 'binding']"
P09601,HMOX1,9606,R-HSA-189483;R-HSA-6785807;R-HSA-844456;R-HSA-917937;R-HSA-9609523;R-HSA-9660826;R-HSA-9707564;R-HSA-9707587;R-HSA-9707616;R-HSA-9818027,"['GO:0019899', 'GO:0020037', 'GO:0004392', 'GO:0042802', 'GO:0046872', 'GO:0042803', 'GO:0005198']","['catalytic activity', 'binding', 'structural molecule activity']"
P02794,FTH1,9606,R-HSA-3000480;R-HSA-432722;R-HSA-6798695;R-HSA-917937,"['GO:0008199', 'GO:0008198', 'GO:0004322', 'GO:0042802', 'GO:0005506', 'GO:0140315']","['catalytic activity', 'binding', 'molecular sequestering activity']"
P15941,MUC1,9606,R-HSA-5083625;R-HSA-5083632;R-HSA-5083636;R-HSA-5621480;R-HSA-6785807;R-HSA-913709;R-HSA-977068,"['GO:0002039', 'GO:0000978', 'GO:0003712']","['molecular adaptor activity', 'binding', 'transcription regulator activity']"
P13640,MT1G,9606,R-HSA-5661231,"['GO:0046872', 'GO:0008270']",['binding']
Q9NP59,SLC40A1,9606,R-HSA-425410;R-HSA-5619049;R-HSA-5619060;R-HSA-5655799;R-HSA-917937,"['GO:0015093', 'GO:0042802', 'GO:0005381', 'GO:0046872', 'GO:0017046']","['binding', 'transporter activity']"
Q9NZ45,CISD1,9606,,"['GO:0051537', 'GO:0042802', 'GO:0047801', 'GO:0046872', 'GO:0042803', 'GO:0030170']","['catalytic activity', 'binding']"
P11021,HSPA5,9606,R-HSA-114608;R-HSA-3371453;R-HSA-381033;R-HSA-381042;R-HSA-381070;R-HSA-381183;R-HSA-8874177;R-HSA-983170,"['GO:0005524', 'GO:0016887', 'GO:0140662', 'GO:0045296', 'GO:0005509', 'GO:0019899', 'GO:0031072', 'GO:0051787', 'GO:0019904', 'GO:0044183', 'GO:0051087', 'GO:0043022', 'GO:0031625', 'GO:0051082']","['catalytic activity', 'protein folding chaperone', 'binding', 'ATP-dependent activity']"
P18848,ATF4,9606,R-HSA-380994;R-HSA-381042;R-HSA-381183;R-HSA-9633012;R-HSA-9648895;R-HSA-9818027;R-HSA-9818035,"['GO:0008140', 'GO:0003677', 'GO:0001228', 'GO:0003700', 'GO:0000981', 'GO:0140296', 'GO:0042802', 'GO:0043522', 'GO:1990841', 'GO:0046982', 'GO:0019901', 'GO:0000978', 'GO:0000977', 'GO:0061629', 'GO:0043565', 'GO:1990837', 'GO:0000976']","['binding', 'transcription regulator activity']"
