id,rcd,effect,testin,pmid,remark,latestupdate,datasource
1,Ferroptosis,Ferroptosis :-: Fibrosarcoma,Human,22632970,,2020/12/31,FerrDb team
2,Ferroptosis,Ferroptosis :-: Osteosarcoma,Human,22632970,,2020/12/31,FerrDb team
3,Ferroptosis,Ferroptosis :-: Non small cell lung cancer,Human,22632970,,2020/12/31,FerrDb team
4,Ferroptosis,Ferroptosis :+: Neurodegenerative diseases,Mice,22632970,,2020/12/31,FerrDb team
5,Ferroptosis,Ferroptosis :-: Diffuse large b cell lymphomas,Human,24439385,,2020/12/31,FerrDb team
6,Ferroptosis,Ferroptosis :-: Renal cell carcinomas,Human,24439385,,2020/12/31,FerrDb team
7,Ferroptosis,Ferroptosis :+: Huntington’s disease,Rat,24592866,,2020/12/31,FerrDb team
8,Ferroptosis,Ferroptosis :+: Periventricular leukomalacia,_NA_,24592866,,2020/12/31,FerrDb team
9,Ferroptosis,Ferroptosis :+: Rhabdomyolysis-induced acute kidney injury,Mice,24592866,,2020/12/31,FerrDb team
10,Ferroptosis,Ferroptosis :-: Prostate cancer,Human,24844246,,2020/12/31,FerrDb team
11,Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,23505071,,2020/12/31,FerrDb team
12,Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,25174755,,2020/12/31,FerrDb team
13,Ferroptosis,Ferroptosis :-: Kidney cancer,Human,25368241,,2020/12/31,FerrDb team
14,Ferroptosis,Ferroptosis :-: Melanoma,Human,25368241,,2020/12/31,FerrDb team
15,Ferroptosis,Ferroptosis :-: Lung carcinoma,Human,25368241,,2020/12/31,FerrDb team
16,Ferroptosis,Ferroptosis :-: Pancreatic adenocarcinoma,Human,25368241,,2020/12/31,FerrDb team
17,Ferroptosis,Ferroptosis :-: Colon carcinoma,Human,25368241,,2020/12/31,FerrDb team
18,Ferroptosis,Ferroptosis :+: Kidney ischemia-reperfusion injury,Mice,25385600,,2020/12/31,FerrDb team
19,Ferroptosis,Ferroptosis :+: Oxalate crystal-induced acute kidney injury,Mice,25385600,,2020/12/31,FerrDb team
20,Ferroptosis,Ferroptosis :+: Acute renal failure,Mice,25402683,,2020/12/31,FerrDb team
21,Ferroptosis,Ferroptosis :-: Liver cancer,Human,25444922,,2020/12/31,FerrDb team
22,Ferroptosis,Ferroptosis :-: Cervical carcinoma,Human,25728673,,2020/12/31,FerrDb team
