"RCD","Molecule","Name","PubChem_CID","PMID","Remark","Latest_update","Data_source"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","DFO","Deferoxamine","2973",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Trolox","Trolox","40634",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","U0126","U0126","3006531",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","CHX","Cycloheximide","6197",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","AOA","Aminooxyacetic acid","286",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","CPX","Ciclopirox olamine","38911",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Ebselen","Ebselen","3194",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Beta-Mercaptoethanol","Beta-Mercaptoethanol","1567",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","DPI","Diphenylene iodonium","3101",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","GKT137831","GKT137831","58496428",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","6-AN","6-aminonicotinamide","9500",22632970,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",24592866,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Zileuton","Zileuton","60490",26235588,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Baicalein","Baicalein","5281605",27037021,NA,2020-12-31,"FerrDb team"
"Ferroptosis","XJB-5-131","XJB-5-131","11693686",27725964,NA,2020-12-31,"FerrDb team"
"Ferroptosis","JP4-039","JP4-039","44596286",27725964,NA,2020-12-31,"FerrDb team"
"Ferroptosis","vitamin E","vitamin E","14985",27262435,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",28386601,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",28386601,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",28489094,NA,2020-12-31,"FerrDb team"
"Ferroptosis","LA","alpha-Lipoic acid","864",29126071,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Puerarin","Puerarin","5281807",29427658,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Compound 37","Fer-1 analogue 37","_NA_",30354101,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Compound 38","Fer-1 analogue 38","_NA_",30354101,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Compound 39","Fer-1 analogue 39","_NA_",30354101,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Curcumin","Curcumin","969516",30736288,NA,2020-12-31,"FerrDb team"
"Ferroptosis","EGCG","(-)-epigallocatechin-3-gallate","65064",30736288,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Curcumin","Curcumin","969516",31034781,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Quercetin","Quercetin","5280343",31224575,"PMID is not reachable. Please use doi: 10.1093/cdn/nzz031.P06-056-19",2020-12-31,"FerrDb team"
"Ferroptosis","Baicalein","Baicalein","5281605",31231224,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Artepillin C","Artepillin C","5472440",31299294,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Kaempferide","Kaempferide","5281666",31299294,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Kaempferol","Kaempferol","5280863",31299294,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Carvacrol","Carvacrol","10364",31470002,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Edaravone","Edaravone","4021",31479686,NA,2020-12-31,"FerrDb team"
"Ferroptosis","IM-93","Indolylmaleimide derivative IM-93","_NA_",31531196,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Glycyrrhizin","Glycyrrhizin","14982",31545489,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Gastrodin","Gastrodin","115067",31698019,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Rifampicin","Rifampicin","135398735",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Promethazine","Promethazine","4927",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Omeprazole","Omeprazole","4594",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Indole-3-carbinol","Indole-3-carbinol","3712",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Carvedilol","Carvedilol","2585",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Propranolol","Propranolol","4946",31767624,NA,2020-12-31,"FerrDb team"
"Ferroptosis","Estradiol","Estradiol","5757",31767624,NA,2021-05-17,"FerrDb team"
"Ferroptosis","BMS536924","BMS536924","135440466",33377232,NA,2021-06-30,"FerrDb team"
"Ferroptosis","Carnosic acid","Carnosic acid","65126",33333051,NA,2021-07-14,"FerrDb team"
"Ferroptosis","Lapatinib","lapatinib","208908",33362556,NA,2021-07-16,"FerrDb team"
"Ferroptosis","Thioctic acid","Thioctic acid","864",33241887,NA,2021-07-19,"FerrDb team"
"Ferroptosis","H2S","Hydrogen sulfide","402",33290842,NA,2021-07-21,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",33343809,NA,2021-07-26,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",33206394,NA,2021-07-28,"FerrDb team"
"Ferroptosis","ICA","Icariin","5318997",33365072,NA,2021-07-28,"FerrDb team"
"Ferroptosis","DATS","diallyl trisulfide","16315",33168263,NA,2021-08-21,"FerrDb team"
"Ferroptosis","DMTS","dimethyl trisulfide","19310",33168263,NA,2021-08-21,"FerrDb team"
"Ferroptosis","galangin","galangin","5281616",33127512,NA,2021-08-21,"FerrDb team"
"Ferroptosis","EGCG","(-)-epigallocatechin-3-gallate","65064",33069855,NA,2021-08-30,"FerrDb team"
"Ferroptosis","Dynasore","Dynasore","_NA_",33050207,NA,2021-08-30,"FerrDb team"
"Ferroptosis","Quercetin","Quercetin","5280343",32992479,NA,2021-09-06,"FerrDb team"
"Ferroptosis","Tocilizumab mimotope","Tocilizumab mimotope","_NA_",32979361,NA,2021-09-06,"FerrDb team"
"Ferroptosis","BG","Ginkgolide B","_NA_",32976958,NA,2021-09-06,"FerrDb team"
"Ferroptosis","(+)-clausenamide","(+)-clausenamide","128412",32951003,NA,2021-09-10,"FerrDb team"
"Ferroptosis","EX-527","EX-527","_NA_",32896720,NA,2021-09-27,"FerrDb team"
"Ferroptosis","5-azacitidine","5-azacitidine","9444",32896720,NA,2021-09-27,"FerrDb team"
"Ferroptosis","Curculigoside","Curculigoside","158845",32861798,NA,2021-10-08,"FerrDb team"
"Ferroptosis","XJB-5-131","XJB-5-131","11693686",32796819,NA,2021-10-14,"FerrDb team"
"Ferroptosis","Quercetin","Quercetin","5280343",33364059,NA,2021-11-05,"FerrDb team"
"Ferroptosis","SIH","salicylaldehyde isonicotinoyl hydrazone","10323",32690135,NA,2021-11-09,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",32690135,NA,2021-11-09,"FerrDb team"
"Ferroptosis","Glutathione","Glutathione","124886",32690135,NA,2021-11-09,"FerrDb team"
"Ferroptosis","Melatonin","Melatonin","896",32679060,NA,2021-11-11,"FerrDb team"
"Ferroptosis","OA","Oleic acid","445639",32652074,NA,2021-11-11,"FerrDb team"
"Ferroptosis","Irisin","Irisin","_NA_",32583428,NA,2021-11-18,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",32593899,NA,2021-11-18,"FerrDb team"
"Ferroptosis","Cystine","Cystine","67678",32685019,NA,2021-11-20,"FerrDb team"
"Ferroptosis","Cysteine","Cysteine","5862",32685019,NA,2021-11-20,"FerrDb team"
"Ferroptosis","Bilirubin","Bilirubin","5280352",32612533,NA,2021-11-21,"FerrDb team"
"Ferroptosis","CCA","Cryptochlorogenic acid","9798666",32606852,NA,2021-11-25,"FerrDb team"
"Ferroptosis","EGCG","(-)-Epigallocatechin-3-gallate","65064",33335755,NA,2021-11-30,"FerrDb team"
"Ferroptosis","PAC","Proanthocyanidin","108065",32474063,NA,2021-11-30,"FerrDb team"
"Ferroptosis","Ebselen","Ebselen","3194",32083771,NA,2021-12-01,"FerrDb team"
"Ferroptosis","CQ","Clioquinol","2788",32424108,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",32419644,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",32416440,NA,2021-12-01,"FerrDb team"
"Ferroptosis","Dex","Dexmedetomidine","5311068",32377745,"_NA_",2021-12-07,"FerrDb team"
"Ferroptosis","CyPPA","CyPPA","909822",32327637,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Apigenin","Apigenin","5280443",32327603,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","DFP","Deferiprone","2972",32276637,"_NA_",2021-12-09,"FerrDb team"
"Ferroptosis","Beta-Mercaptoethanol","Beta-Mercaptoethanol","1567",32283634,"β-mercaptoethanol in article.",2021-12-09,"FerrDb team"
"Ferroptosis","Rosi","Rosiglitazone","77999",32283634,"An inhibitor of ACSL4.",2021-12-09,"FerrDb team"
"Ferroptosis","Cysteine","Cysteine","5862",32241947,"_NA_",2021-12-15,"FerrDb team"
"Ferroptosis","Lip-1","Liproxstatin-1","135735917",32219613,"_NA_",2021-12-16,"FerrDb team"
"Ferroptosis","Quercetin","Quercetin","5280343",32131401,"_NA_",2021-12-22,"FerrDb team"
"Ferroptosis","QDAD","Quercetin Diels-Alder anti-Dimer","_NA_",32131401,"A series of compounds.",2021-12-22,"FerrDb team"
"Ferroptosis","Fer-1","ferrostatin-1","4068248",32161620,"_NA_",2021-12-22,"FerrDb team"
"Ferroptosis","Nutlin-3","Nutlin-3","216345",32079652,"nutlin in article.",2021-12-30,"FerrDb team"
"Ferroptosis","Butein","Butein","5281222",32033283,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","Butin","Butin","92775",32033283,"( S)-Butin in article.",2021-12-30,"FerrDb team"
"Ferroptosis","Paricalcitol","Paricalcitol","5281104",31996668,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","DFP","Deferiprone","2972",32107172,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","NTE","Naotaifang Extract","_NA_",32107172,"The recipe for NTE consists of four traditional Chinese herbal medicines: Radix Astragali (Huangqi) 40 g, Rhizoma chuanxiong (Chuangxiong) 10 g, Pheretima (Dilong) 15 g, and Bombyx batryticatus (Jiangcan) 15 g.",2021-12-30,"FerrDb team"
"Ferroptosis","FG-4592","Roxadustat","11256664",32051732,"_NA_",2021-12-30,"FerrDb team"
"Ferroptosis","MEL23","MDM2 Inhibitor VII","_NA_",32079652,"_NA_",2021-12-31,"FerrDb team"
"Ferroptosis","Gastrodin","Gastrodin","115067",32115506,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",31901729,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Omeprazole","Omeprazole","4594",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Indole-3-carbinol","Indole-3-carbinol","3712",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Rifampicin","Rifampicin","135398735",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Promethazine","Promethazine","4927",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Carvedilol","Carvedilol","2585",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Propranolol","Propranolol","4946",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Estradiol","Estradiol","5757",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","T3","triiodothyronine","5920",31767624,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Gastrodin","Gastrodin","115067",31698019,"_NA_",2022-01-07,"FerrDb team"
"Ferroptosis","Carboplatin","Carboplatin","426756",31641008,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","Bim1","Bisindolylmaleimide i","2396",31173656,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","Gö6976","Go-6976","3501",31173656,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","DPI","Diphenylene iodonium","3101",31173656,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","GKT137831","GKT137831","58496428",31173656,"_NA_",2022-01-10,"FerrDb team"
"Ferroptosis","RR-11a","(2,5-dioxopyrrolidin-1-yl) (E)-4-[(2-amino-2-oxoethyl)-[[(2S)-2-[[(2S)-2-(phenylmethoxycarbonylamino)propanoyl]amino]propanoyl]amino]amino]-4-oxobut-2-enoate","88556687",33431801,"_NA_",2022-01-19,"FerrDb team"
"Ferroptosis","Nuciferine","Nuciferine","10146",33450067,"_NA_",2022-01-19,"FerrDb team"
"Ferroptosis","Baicalein","Baicalein","5281605",34015760,"_NA_",2022-01-26,"FerrDb team"
"Ferroptosis","Cystine","Cystine","67678",33897873,"_NA_",2022-02-10,"FerrDb team"
"Ferroptosis","Fer-1","Ferrostatin-1","4068248",33631670,"_NA_",2022-02-10,"FerrDb team"
"Ferroptosis","DFO","Deferoxamine","2973",34175430,"_NA_",2022-02-10,"FerrDb team"
"Ferroptosis","Chebulagic Acid","Chebulagic Acid","442674",34299576,"_NA_",2022-02-12,"FerrDb team"
"Ferroptosis","Chebulinic Acid","Chebulinic Acid","72284",34299576,"_NA_",2022-02-12,"FerrDb team"
"Ferroptosis","Panaxydol","Panaxydol","5283280",33653364,"_NA_",2022-02-12,"FerrDb team"
"Ferroptosis","IRN","Isorhynchophylline","3037048",33942214,"_NA_",2022-02-12,"FerrDb team"
"Ferroptosis","Bazedoxifene","Bazedoxifene","154257",33686292,"_NA_",2022-02-15,"FerrDb team"
"Ferroptosis","INK128","Sapanisertib","45375953",33686292,"_NA_",2022-02-15,"FerrDb team"
"Ferroptosis","AZD8055","[5-[2,4-Bis((3S)-3-methylmorpholin-4-yl)pyrido[2,3-d]pyrimidin-7-yl]-2-methoxyphenyl]methanol","25262965",33686292,"_NA_",2022-02-15,"FerrDb team"
"Ferroptosis","Kaempferol","Kaempferol","5280863",34206421,"_NA_",2022-02-23,"FerrDb team"
