"RCD","Symbol","HGNC_ID","ENSG_stable","Dependence","Evidence","Exp_organism","Pathway","Confidence","Experiments","Caution","UniProtAC","PMID","Remark","Latest_update","Data_source","Gene_type_hgnc_locus_type_or_other"
"Ferroptosis","PTGS2","HGNC:9605","ENSG00000073756","_NA_","Simply a downstream marker of ferroptosis. The most upregulated gene in BJeLR cells upon treatment with either erastin or (1S, 3R)-RSL3, but ferroptotic cell death was not affected by inhibition of the enzyme.","Human","_NA_","Validated",0,"_NA_","P35354",24439385,"May promote ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","CHAC1","HGNC:28680","ENSG00000128965","_NA_","Up-regulated in erastin-treated samples.  A useful pharmacodynamic marker of system Xc- inhibition.","Human","_NA_","Validated",0,"_NA_","Q9BUX1",24844246,"May promote ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","SLC40A1","HGNC:10909","ENSG00000138449","_NA_","Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a suppressor (PMID 27441659).","Q9NP59",27773819,"May promote ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","TF","HGNC:11740","ENSG00000091513","_NA_","Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a driver (PMID 27441659).","P02787",27773819,"May promote ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","TFRC","HGNC:11763","ENSG00000072274","_NA_","Erastin-induced mRNA expression is upregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a driver (PMID 27514700).","P02786",27773819,"May promote ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","FTH1","HGNC:3976","ENSG00000167996","_NA_","Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a suppressor (PMID 26403645).","P02794",27773819,"May inhibit ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","GPX4","HGNC:4556","ENSG00000167468","_NA_","Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a suppressor (PMID 25824823).","P36969",27773819,"May inhibit ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","HSPB1","HGNC:5246","ENSG00000106211","_NA_","Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a suppressor (PMID 25728673).","P04792",27773819,"May inhibit ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","NFE2L2","HGNC:7782","ENSG00000116044","_NA_","Erastin-induced mRNA expression is downregulated in FANCD2-deficient cells.","Mice","_NA_","Validated",0,"Used as a marker in this study but has been proved to be a suppressor (PMID 27015352).","Q16236",27773819,"NRF2 in article. May inhibit ferroptosis.",2022-03-09,"FerrDb team","gene with protein product"
"Ferroptosis","GPX4","HGNC:4556","ENSG00000167468","_NA_","Upregulated in DFO-induced resistance to ferroptosis.","Rat","_NA_","Validated",0,"Inhibits ferroptosis but used as a marker in this study.","P36969",30539824,"There is a corrigendum for this article.",2022-03-09,"FerrDb team","gene with protein product"
