RCD,Effect,Exp_organism,Confidence,PMID,Remark,Latest_update,Data_source
Ferroptosis,Ferroptosis :-: Fibrosarcoma,Human,,22632970,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Osteosarcoma,Human,,22632970,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Non small cell lung cancer,Human,,22632970,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Neurodegenerative diseases,Mice,,22632970,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Diffuse large b cell lymphomas,Human,,24439385,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Renal cell carcinomas,Human,,24439385,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Huntington’s disease,Rat,,24592866,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Periventricular leukomalacia,_NA_,,24592866,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Rhabdomyolysis-induced acute kidney injury,Mice,,24592866,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Prostate cancer,Human,,24844246,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,23505071,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,Human,,25174755,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Kidney cancer,Human,,25368241,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Melanoma,Human,,25368241,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Lung carcinoma,Human,,25368241,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Pancreatic adenocarcinoma,Human,,25368241,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Colon carcinoma,Human,,25368241,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Kidney ischemia-reperfusion injury,Mice,,25385600,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Oxalate crystal-induced acute kidney injury,Mice,,25385600,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Acute renal failure,Mice,,25402683,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Liver cancer,Human,,25444922,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Cervical carcinoma,Human,,25728673,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Colon tumour,Human,,25799988,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Liver tumour,Human,,25799988,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Kidney tumour,Human,,25799988,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Lymphocytic choriomeningitis virus infection,Mice,,25824823,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Leishmania major infection,Mice,,25824823,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Glioma,Rat,,25896595,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Chronic myeloid leukemia,Human,,25965523,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Pancreatic ductal adenocarcinoma,Human,,26097885,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Rhabdomyosarcoma,_NA_,,26157704,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Ischemia/reperfusion-induced heart injury,Mice,,26166707,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Rapid motor neuron degeneration,Mice,,26400084,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :+: Paralysis,Mice,,26400084,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Hepatocellular carcinoma,"Human, mice",,26403645,,12/31/2020,FerrDb team
Ferroptosis,Ferroptosis :-: Triple-negative breast cancer,Human,,26930718,,12/31/2020,FerrDb team
