RCD,Symbol_or_reported_abbr,HGNC_ID,ENSG_stable,Dependence,Evidence,Exp_organism,Pathway,Confidence,Experiments,Caution,UniProtAC,PMID,Remark,Latest_update,Data_source,Gene_type_hgnc_locus_type_or_other
Ferroptosis,RPL8,HGNC:10368,ENSG00000161016,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,RPL8 :+: Ferroptosis,Validated,0,_NA_,P62917,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,IREB2,HGNC:6115,ENSG00000136381,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,IREB2 :+: Ferroptosis,Validated,0,_NA_,P48200,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,ATP5MC3,HGNC:843,ENSG00000154518,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ATP5MC3 :+: Ferroptosis,Validated,0,_NA_,P48201,22632970,ATP5G3 in article,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,CS,HGNC:2422,ENSG00000062485,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,CS :+: Ferroptosis,Validated,0,_NA_,O75390,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,EMC2,HGNC:28963,ENSG00000104412,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,EMC2 :+: Ferroptosis,Validated,0,_NA_,Q15006,22632970,TTC35 in article,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,ACSF2,HGNC:26101,ENSG00000167107,_NA_,Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.,Human,ACSF2 :+: Ferroptosis,Validated,0,_NA_,Q96CM8,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,NOX1,HGNC:7889,ENSG00000007952,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX1 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9Y5S8,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,CYBB,HGNC:2578,ENSG00000165168,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,CYBB :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,P04839,22632970,NOX2 in article,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,NOX3,HGNC:7890,ENSG00000074771,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX3 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9HBY0,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
Ferroptosis,NOX4,HGNC:7891,ENSG00000086991,_NA_,Suppresses erastin-induced ferroptosis when inhibited by inhibitor.,Human,NOX4 :+: Ferroptosis,Deduced,0,The presented inhibition study is not sufficient to confirm its role in ferroptosis.,Q9NPH5,22632970,_NA_,12/31/2020,FerrDb team,gene with protein product
