RCD,Molecule,Name,PubChem_CID,PMID,Remark,Latest_update,Data_source
Ferroptosis,Erastin,Erastin,11214940,22632970,,12/31/2020,FerrDb team
Ferroptosis,Glutamate,Glutamate,_NA_,22632970,,12/31/2020,FerrDb team
Ferroptosis,SAS,Sulfasalazine,5339,22632970,,12/31/2020,FerrDb team
Ferroptosis,Sorafenib,Sorafenib,216239,23505071,,12/31/2020,FerrDb team
Ferroptosis,Erastin,Erastin,11214940,24439385,,12/31/2020,FerrDb team
Ferroptosis,RSL3,"(1S,3R)-RSL3",1750826,24439385,,12/31/2020,FerrDb team
Ferroptosis,Erastin,Erastin,11214940,24844246,,12/31/2020,FerrDb team
Ferroptosis,Sorafenib,Sorafenib,216239,24844246,,12/31/2020,FerrDb team
Ferroptosis,Sorafenib,Sorafenib,216239,25368241,,12/31/2020,FerrDb team
Ferroptosis,APAP,Acetaminophen,1983,25962350,,12/31/2020,FerrDb team
Ferroptosis,ART,Artesunate,6917864,26097885,,12/31/2020,FerrDb team
Ferroptosis,Artemisinin,Qinghaosu,68827,26407947,,12/31/2020,FerrDb team
Ferroptosis,Artenimol,Artenimol,3000518,26407947,,12/31/2020,FerrDb team
Ferroptosis,FINO2,"1,2-dioxolane",138198,26797166,,12/31/2020,FerrDb team
Ferroptosis,ART,Artesunate,6917864,26878598,,12/31/2020,FerrDb team
Ferroptosis,CN-A,Cotylenin A,5477444,27375275,,12/31/2020,FerrDb team
Ferroptosis,PEITC,Phenethyl isothiocyanate,16741,27375275,,12/31/2020,FerrDb team
Ferroptosis,Siramesine,Siramesine,9829526,27441659,,12/31/2020,FerrDb team
Ferroptosis,Lapatinib,Lapatinib,208908,27441659,,12/31/2020,FerrDb team
Ferroptosis,DHA,Dihydroartemisinin,3000518,27477901,,12/31/2020,FerrDb team
Ferroptosis,MPP+,1-methyl-4-phenylpyridinium,39484,28250973,,12/31/2020,FerrDb team
Ferroptosis,Haloperidol,Haloperidol,3559,28756230,,12/31/2020,FerrDb team
Ferroptosis,Siramesine,Siramesine,9829526,28827805,,12/31/2020,FerrDb team
Ferroptosis,Lapatinib,Lapatinib,208908,28827805,,12/31/2020,FerrDb team
Ferroptosis,Salinomycin,Salinomycin,3085092,28937680,,12/31/2020,FerrDb team
Ferroptosis,Piperlongumine,Piperlongumine,637858,29393418,,12/31/2020,FerrDb team
Ferroptosis,FINO2,"1,2-dioxolane",138198,29610484,,12/31/2020,FerrDb team
Ferroptosis,PAB,Pseudolaric acid B,71307573,29702192,,12/31/2020,FerrDb team
Ferroptosis,D13,Albiziabioside A derivative D13,_NA_,30142612,,12/31/2020,FerrDb team
Ferroptosis,Epunctanone,Epunctanone,_NA_,30195869,,12/31/2020,FerrDb team
Ferroptosis,SRS 16-86,SRS 16-86,_NA_,30352209,,12/31/2020,FerrDb team
Ferroptosis,RSL3,"(1S,3R)-RSL3",1750826,30524291,,12/31/2020,FerrDb team
Ferroptosis,ART,Artesunate,6917864,30551460,,12/31/2020,FerrDb team
Ferroptosis,DHA,Dihydroartemisinin,3000518,30557609,,12/31/2020,FerrDb team
Ferroptosis,IKE,Imidazole ketone erastin,91824786,30799221,,12/31/2020,FerrDb team
Ferroptosis,Ferroptocide,Ferroptocide,137530033,31086302,,12/31/2020,FerrDb team
Ferroptosis,DHA,Dihydroartemisinin,3000518,31114026,,12/31/2020,FerrDb team
Ferroptosis,SAS,Sulfasalazine,5339,31173262,,12/31/2020,FerrDb team
Ferroptosis,Typhaneoside,Typhaneoside,6326228,31301767,,12/31/2020,FerrDb team
Ferroptosis,Neratinib,Neratinib,9915743,31409375,,12/31/2020,FerrDb team
Ferroptosis,MNPE,1-Methylnaphthalene-4-propionate endoperoxide,13640687,31445701,,12/31/2020,FerrDb team
Ferroptosis,GA,Gallic acid,370,31455047,,12/31/2020,FerrDb team
Ferroptosis,DHA,Dihydroartemisinin,3000518,31519193,,12/31/2020,FerrDb team
Ferroptosis,ART,Artesunate,6917864,31537387,,12/31/2020,FerrDb team
Ferroptosis,APAP,Acetaminophen,1983,31541463,,12/31/2020,FerrDb team
Ferroptosis,D-2-HG,D-2-hydroxyglutarate,439391,31591388,,12/31/2020,FerrDb team
Ferroptosis,PG,8-O-beta-glucopyranoside,101159014,31606381,Article retraction,12/31/2020,FerrDb team
Ferroptosis,Siramesine,Siramesine,9829526,31636810,,12/31/2020,FerrDb team
Ferroptosis,Lapatinib,Lapatinib,208908,31636810,,12/31/2020,FerrDb team
Ferroptosis,DT,Dihydroisotanshinone I,89406,31736748,,12/31/2020,FerrDb team
Ferroptosis,Acrolein,Acrolein,7847,31887216,,12/31/2020,FerrDb team
Ferroptosis,Ruscogenin,Ruscogenin,441893,31894321,,12/31/2020,FerrDb team
Ferroptosis,Erastin,Erastin,11214940,31897145,,12/31/2020,FerrDb team
Ferroptosis,Sorafenib,Sorafenib,216239,31897145,,04/08/2021,FerrDb team
Ferroptosis,Artemisinin,Artemisinin,103905865,33359684,,04/10/2021,FerrDb team
Ferroptosis,FAC,Ferric ammonium citrate,14457,33376672,,04/24/2021,FerrDb team
Ferroptosis,AA,Arachidonic acid,444899,33288688,,04/30/2021,FerrDb team
Ferroptosis,Quisinostat,Quisinostat,11538455,33290780,,05/03/2021,FerrDb team
Ferroptosis,Formaldehyde,Formaldehyde,712,33259821,,05/09/2021,FerrDb team
Ferroptosis,SFN,Sulforaphane,5350,33365082,,05/18/2021,FerrDb team
Ferroptosis,SCHL,soyauxinium chloride,_NA_,33245930,,05/26/2021,FerrDb team
Ferroptosis,DEHP,di (2-ethylhexyl) phthalate,7057919,33272674,,06/01/2021,FerrDb team
Ferroptosis,Curcumin,Curcumin,969516,33294119,,06/07/2021,FerrDb team
Ferroptosis,5-ALA,5-aminolevulinic acid,137,33210267,,06/14/2021,FerrDb team
Ferroptosis,cholesterol,cholesterol,5997,33208460,,06/19/2021,FerrDb team
Ferroptosis,TalaA,talaroconvolutin A,6475761,33203867,,06/23/2021,FerrDb team
