id,rcd,molecule,name,pubchemcid,pmid,remark,latestupdate,datasource
1,Ferroptosis,Fer-1,Ferrostatin-1,4068248,22632970,,2020/12/31,FerrDb team
2,Ferroptosis,DFO,Deferoxamine,2973,22632970,,2020/12/31,FerrDb team
3,Ferroptosis,Trolox,Trolox,40634,22632970,,2020/12/31,FerrDb team
4,Ferroptosis,U0126,U0126,3006531,22632970,,2020/12/31,FerrDb team
5,Ferroptosis,CHX,Cycloheximide,6197,22632970,,2020/12/31,FerrDb team
6,Ferroptosis,AOA,Aminooxyacetic acid,286,22632970,,2020/12/31,FerrDb team
7,Ferroptosis,CPX,Ciclopirox olamine,38911,22632970,,2020/12/31,FerrDb team
8,Ferroptosis,Ebselen,Ebselen,3194,22632970,,2020/12/31,FerrDb team
9,Ferroptosis,Beta-Mercaptoethanol,Beta-Mercaptoethanol,1567,22632970,,2020/12/31,FerrDb team
10,Ferroptosis,DPI,Diphenylene iodonium,3101,22632970,,2020/12/31,FerrDb team
11,Ferroptosis,GKT137831,GKT137831,58496428,22632970,,2020/12/31,FerrDb team
12,Ferroptosis,6-AN,6-aminonicotinamide,9500,22632970,,2020/12/31,FerrDb team
13,Ferroptosis,Fer-1,Ferrostatin-1,4068248,24592866,,2020/12/31,FerrDb team
14,Ferroptosis,Zileuton,Zileuton,60490,26235588,,2020/12/31,FerrDb team
15,Ferroptosis,Baicalein,Baicalein,5281605,27037021,,2020/12/31,FerrDb team
16,Ferroptosis,XJB-5-131,XJB-5-131,11693686,27725964,,2020/12/31,FerrDb team
17,Ferroptosis,JP4-039,JP4-039,44596286,27725964,,2020/12/31,FerrDb team
18,Ferroptosis,vitamin E,vitamin E,14985,27262435,,2020/12/31,FerrDb team
19,Ferroptosis,Fer-1,Ferrostatin-1,4068248,28386601,,2020/12/31,FerrDb team
20,Ferroptosis,Lip-1,Liproxstatin-1,135735917,28386601,,2020/12/31,FerrDb team
21,Ferroptosis,Lip-1,Liproxstatin-1,135735917,28489094,,2020/12/31,FerrDb team
22,Ferroptosis,LA,alpha-Lipoic acid,864,29126071,,2020/12/31,FerrDb team
23,Ferroptosis,Puerarin,Puerarin,5281807,29427658,,2020/12/31,FerrDb team
24,Ferroptosis,Compound 37,Fer-1 analogue 37,_NA_,30354101,,2020/12/31,FerrDb team
25,Ferroptosis,Compound 38,Fer-1 analogue 38,_NA_,30354101,,2020/12/31,FerrDb team
26,Ferroptosis,Compound 39,Fer-1 analogue 39,_NA_,30354101,,2020/12/31,FerrDb team
27,Ferroptosis,Curcumin,Curcumin,969516,30736288,,2020/12/31,FerrDb team
28,Ferroptosis,EGCG,(-)-epigallocatechin-3-gallate,65064,30736288,,2020/12/31,FerrDb team
29,Ferroptosis,Curcumin,Curcumin,969516,31034781,,2020/12/31,FerrDb team
30,Ferroptosis,Quercetin,Quercetin,5280343,31224575,PMID is not reachable. Please use doi: 10.1093/cdn/nzz031.P06-056-19,2020/12/31,FerrDb team
31,Ferroptosis,Baicalein,Baicalein,5281605,31231224,,2020/12/31,FerrDb team
32,Ferroptosis,Artepillin C,Artepillin C,5472440,31299294,,2020/12/31,FerrDb team
33,Ferroptosis,Kaempferide,Kaempferide,5281666,31299294,,2020/12/31,FerrDb team
34,Ferroptosis,Kaempferol,Kaempferol,5280863,31299294,,2020/12/31,FerrDb team
35,Ferroptosis,Carvacrol,Carvacrol,10364,31470002,,2020/12/31,FerrDb team
36,Ferroptosis,Edaravone,Edaravone,4021,31479686,,2020/12/31,FerrDb team
37,Ferroptosis,IM-93,Indolylmaleimide derivative IM-93,_NA_,31531196,,2020/12/31,FerrDb team
38,Ferroptosis,Glycyrrhizin,Glycyrrhizin,14982,31545489,,2020/12/31,FerrDb team
39,Ferroptosis,Gastrodin,Gastrodin,115067,31698019,,2020/12/31,FerrDb team
40,Ferroptosis,Rifampicin,Rifampicin,135398735,31767624,,2020/12/31,FerrDb team
41,Ferroptosis,Promethazine,Promethazine,4927,31767624,,2020/12/31,FerrDb team
42,Ferroptosis,Omeprazole,Omeprazole,4594,31767624,,2020/12/31,FerrDb team
43,Ferroptosis,Indole-3-carbinol,Indole-3-carbinol,3712,31767624,,2020/12/31,FerrDb team
44,Ferroptosis,Carvedilol,Carvedilol,2585,31767624,,2020/12/31,FerrDb team
45,Ferroptosis,Propranolol,Propranolol,4946,31767624,,2020/12/31,FerrDb team
46,Ferroptosis,Estradiol,Estradiol,5757,31767624,,2021/5/17,FerrDb team
47,Ferroptosis,BMS536924,BMS536924,135440466,33377232,,2021/6/30,FerrDb team
48,Ferroptosis,Carnosic acid,Carnosic acid,65126,33333051,,2021/7/14,FerrDb team
49,Ferroptosis,Lapatinib,lapatinib,208908,33362556,,2021/7/16,FerrDb team
50,Ferroptosis,Thioctic acid,Thioctic acid,864,33241887,,2021/7/19,FerrDb team
51,Ferroptosis,H2S,Hydrogen sulfide,402,33290842,,2021/7/21,FerrDb team
52,Ferroptosis,Melatonin,Melatonin,896,33343809,,2021/7/26,FerrDb team
53,Ferroptosis,Melatonin,Melatonin,896,33206394,,2021/7/28,FerrDb team
54,Ferroptosis,ICA,Icariin,5318997,33365072,,2021/7/28,FerrDb team
55,Ferroptosis,DATS,diallyl trisulfide,16315,33168263,,2021/8/21,FerrDb team
56,Ferroptosis,DMTS,dimethyl trisulfide,19310,33168263,,2021/8/21,FerrDb team
57,Ferroptosis,galangin,galangin,5281616,33127512,,2021/8/21,FerrDb team
58,Ferroptosis,EGCG,(-)-epigallocatechin-3-gallate,65064,33069855,,2021/8/30,FerrDb team
59,Ferroptosis,Dynasore,Dynasore,_NA_,33050207,,2021/8/30,FerrDb team
60,Ferroptosis,Quercetin,Quercetin,5280343,32992479,,2021/9/6,FerrDb team
61,Ferroptosis,Tocilizumab mimotope,Tocilizumab mimotope,_NA_,32979361,,2021/9/6,FerrDb team
62,Ferroptosis,BG,Ginkgolide B,_NA_,32976958,,2021/9/6,FerrDb team
63,Ferroptosis,(+)-clausenamide,(+)-clausenamide,128412,32951003,,2021/9/10,FerrDb team
64,Ferroptosis,EX-527,EX-527,_NA_,32896720,,2021/9/27,FerrDb team
65,Ferroptosis,5-azacitidine,5-azacitidine,9444,32896720,,2021/9/27,FerrDb team
66,Ferroptosis,Curculigoside,Curculigoside,158845,32861798,,2021/10/8,FerrDb team
67,Ferroptosis,XJB-5-131,XJB-5-131,11693686,32796819,,2021/10/14,FerrDb team
68,Ferroptosis,Quercetin,Quercetin,5280343,33364059,,2021/11/5,FerrDb team
69,Ferroptosis,SIH,salicylaldehyde isonicotinoyl hydrazone,10323,32690135,,2021/11/9,FerrDb team
70,Ferroptosis,Lip-1,Liproxstatin-1,135735917,32690135,,2021/11/9,FerrDb team
71,Ferroptosis,Glutathione,Glutathione,124886,32690135,,2021/11/9,FerrDb team
72,Ferroptosis,Melatonin,Melatonin,896,32679060,,2021/11/11,FerrDb team
73,Ferroptosis,OA,Oleic acid,445639,32652074,,2021/11/11,FerrDb team
74,Ferroptosis,Irisin,Irisin,_NA_,32583428,,2021/11/18,FerrDb team
75,Ferroptosis,Fer-1,Ferrostatin-1,4068248,32593899,,2021/11/18,FerrDb team
76,Ferroptosis,Cystine,Cystine,67678,32685019,,2021/11/20,FerrDb team
77,Ferroptosis,Cysteine,Cysteine,5862,32685019,,2021/11/20,FerrDb team
78,Ferroptosis,Bilirubin,Bilirubin,5280352,32612533,,2021/11/21,FerrDb team
79,Ferroptosis,CCA,Cryptochlorogenic acid,9798666,32606852,,2021/11/25,FerrDb team
80,Ferroptosis,EGCG,(-)-Epigallocatechin-3-gallate,65064,33335755,,2021/11/30,FerrDb team
81,Ferroptosis,PAC,Proanthocyanidin,108065,32474063,,2021/11/30,FerrDb team
82,Ferroptosis,Ebselen,Ebselen,3194,32083771,,2021/12/1,FerrDb team
83,Ferroptosis,CQ,Clioquinol,2788,32424108,,2021/12/1,FerrDb team
84,Ferroptosis,Fer-1,Ferrostatin-1,4068248,32419644,,2021/12/1,FerrDb team
85,Ferroptosis,Fer-1,Ferrostatin-1,4068248,32416440,,2021/12/1,FerrDb team
