Cellline_id	Cellline_name	Cellline_species	Cellline_disease	cell_describe
CELL10047	Arabidopsis thalianasuspension cells	Arabidopsis thaliana	.	Arabidopsis thalianasuspension cells
CELL00027	BLSC-KU-19 cells	Bos taurus	Leukemia	.
CELL00028	MDCK cells	Canis lupus familiaris	Normal	.
CELL00029	CAF cells	Carassius auratus	Normal	.
CELL00030	CHO-S/H9C2 cells	Cricetulus griseus	Normal	.
CELL00031	ZFL cells	Danio rerio	Normal	.
CELL00032	LMH cells	Gallus gallus	Hepatoma	.
CELL00033	HOK cells	Hexagrammos otakii	Normal	.
CELL10001	hBMCs	Homo sapiens	.	Bone marrow cells
CELL10002	hBMSCs	Homo sapiens	.	Bone marrow stromal cells
CELL10003	hBMSCs	Homo sapiens	.	Bone marrow stromal cells
CELL10004	hBCs	Homo sapiens	.	Brain cells
CELL10005	hBCs	Homo sapiens	.	Brain cells
CELL10006	hCFs	Homo sapiens	.	Cardiac Fibroblasts
CELL10007	hCMs	Homo sapiens	.	Cardiomyocytes
CELL10008	hCDs	Homo sapiens	.	Chondrocytes
CELL10009	hCCs	Homo sapiens	.	Colon cells
CELL10010	hESCs	Homo sapiens	.	Embryonic stem cells
CELL10011	hEPCs	Homo sapiens	.	Endothelial progenitor cells
CELL10012	hESCCs	Homo sapiens	.	Esophageal squamous cancer cells
CELL10013	hEECs	Homo sapiens	.	Eutopic endometrial cells
CELL10014	hGCCs	Homo sapiens	.	Gastric cancer cells
CELL10015	hGCs	Homo sapiens	.	Gastric cells
CELL10016	hHSCs	Homo sapiens	.	Hepatic stellate cells
CELL10017	hHCs	Homo sapiens	.	Hippocampal cells
CELL10018	hPMCs	Homo sapiens	.	Human Primary Meningeal Cells
CELL10019	hAAFs	Homo sapiens	.	Human aortic adventitial fibroblasts
CELL10020	hBMMSCs	Homo sapiens	.	Human bone marrow mesenchymal stem cells
CELL10021	hBMECs	Homo sapiens	.	Human brain microvascular endothelial cells
CELL10022	hCMs	Homo sapiens	.	Human cardiomyocytes
