unique_id	target_id	regulator_id	drug_id	disease_id
unique00516	TAR10041	REG10299	ferrodrug0265	DIS00005
unique00516	TAR10041	REG10299	ferrodrug0265	DIS00005
unique00080	TAR10022	REG10391	ferrodrug0166	DIS00006
unique00078	TAR10022	REG10338	ferrodrug0166	DIS00006
unique00079	TAR10022	REG10051	ferrodrug0166	DIS00006
unique01630	TAR10022	REG10465	ferrodrug0226	DIS00006
unique01629	TAR10022	REG30033	ferrodrug0226	DIS00006
unique00079	TAR10022	REG10051	ferrodrug0166	DIS00006
unique00078	TAR10022	REG10338	ferrodrug0166	DIS00006
unique00080	TAR10022	REG10391	ferrodrug0166	DIS00006
unique01630	TAR10022	REG10465	ferrodrug0226	DIS00006
unique01629	TAR10022	REG30033	ferrodrug0226	DIS00006
unique00923	TAR10028	REG10090	ferrodrug0226	DIS00006
unique00070	TAR10028	REG10087	ferrodrug0405	DIS00006
unique01418	TAR10028	REG10226	ferrodrug0116	DIS00006
unique01764	TAR10028	REG10477	ferrodrug0306	DIS00006
unique01763	TAR10028	REG10155	ferrodrug0306	DIS00006
unique00720	TAR10028	REG10306	ferrodrug0191	DIS00006
unique00722	TAR10028	REG10150	ferrodrug0191	DIS00006
unique00070	TAR10028	REG10087	ferrodrug0405	DIS00006
unique00923	TAR10028	REG10090	ferrodrug0226	DIS00006
unique00722	TAR10028	REG10150	ferrodrug0191	DIS00006
unique01763	TAR10028	REG10155	ferrodrug0306	DIS00006
unique01418	TAR10028	REG10226	ferrodrug0116	DIS00006
unique00720	TAR10028	REG10306	ferrodrug0191	DIS00006
unique01764	TAR10028	REG10477	ferrodrug0306	DIS00006
unique01421	TAR10035	REG10226	ferrodrug0116	DIS00006
unique01421	TAR10035	REG10226	ferrodrug0116	DIS00006
unique00303	TAR10038	REG10111	ferrodrug0028	DIS00006
unique00303	TAR10038	REG10111	ferrodrug0028	DIS00006
unique01525	TAR10041	REG10474	ferrodrug0292	DIS00006
unique01526	TAR10041	REG10214	ferrodrug0292	DIS00006
unique00719	TAR10041	REG10306	ferrodrug0191	DIS00006
unique00721	TAR10041	REG10150	ferrodrug0191	DIS00006
unique00721	TAR10041	REG10150	ferrodrug0191	DIS00006
unique01526	TAR10041	REG10214	ferrodrug0292	DIS00006
unique00719	TAR10041	REG10306	ferrodrug0191	DIS00006
unique01525	TAR10041	REG10474	ferrodrug0292	DIS00006
unique01420	TAR10044	REG10226	ferrodrug0116	DIS00006
unique01420	TAR10044	REG10226	ferrodrug0116	DIS00006
unique01419	TAR10053	REG10226	ferrodrug0116	DIS00006
unique01419	TAR10053	REG10226	ferrodrug0116	DIS00006
unique00475	TAR10055	REG10485	ferrodrug0335	DIS00006
unique00304	TAR10055	REG10111	ferrodrug0028	DIS00006
