,name,primary_id_type,display_name,uniprot_id,hgnc_id,ensg_id,effect_on_ferroptosis,source_table,type
1180,P35354,uniprot_id,PTGS2,P35354,HGNC:9605 ,ENSG00000073756,,ferrdb_marker,not sure
1022,Q9BRT9,uniprot_id,GINS4,Q9BRT9,HGNC:28226,ENSG00000147536,,ferrdb_driver,protein
1020,Q9HBY8,uniprot_id,SGK2,Q9HBY8,HGNC:13900,ENSG00000101049,,ferrdb_driver,protein
1019,P06493,uniprot_id,CDK1,P06493,HGNC:1722,ENSG00000170312,,ferrdb_driver,protein
1018,Q13822,uniprot_id,ENPP2,Q13822,HGNC:3357,ENSG00000136960,,ferrdb_driver,protein
1017,Q8WXF7,uniprot_id,AIFM2,Q8WXF7,HGNC:11231,ENSG00000198513,,ferrdb_driver,protein
1016,P39748,uniprot_id,FEN1,P39748,HGNC:3650,ENSG00000168496,,ferrdb_driver,protein
1015,O14503,uniprot_id,BHLHE40,O14503,HGNC:1046,ENSG00000134107,,ferrdb_driver,protein
1014,P52306,uniprot_id,RAP1GDS1,P52306,HGNC:9859,ENSG00000138698,,ferrdb_driver,protein
1013,P13674,uniprot_id,P4HA1,P13674,HGNC:8546,ENSG00000122884,,ferrdb_driver,protein
1012,Q8N884,uniprot_id,CGAS,Q8N884,HGNC:21367,ENSG00000164430,,ferrdb_driver,protein
1011,Q16552,uniprot_id,IL17A,Q16552,HGNC:5981,ENSG00000112115,,ferrdb_driver,protein
1010,O96019,uniprot_id,ACTL6A,O96019,HGNC:24124,ENSG00000136518,,ferrdb_driver,protein
1009,Q9UEF7,uniprot_id,KL,Q9UEF7,HGNC:6344,ENSG00000133116,,ferrdb_driver,protein
1008,Q9H936,uniprot_id,SLC25A22,Q9H936,HGNC:19954,ENSG00000177542,,ferrdb_driver,protein
1007,Q13093,uniprot_id,PLA2G7,Q13093,HGNC:9040,ENSG00000146070,,ferrdb_driver,protein
1006,Q8TD20,uniprot_id,SLC2A12,Q8TD20,HGNC:18067,ENSG00000146411,,ferrdb_driver,protein
1005,P53567,uniprot_id,CEBPG,P53567,HGNC:1837,ENSG00000153879,,ferrdb_driver,protein
1004,P22830,uniprot_id,FECH,P22830,HGNC:3647,ENSG00000066926,,ferrdb_driver,protein
1003,Q9BYW2,uniprot_id,SETD2,Q9BYW2,HGNC:18420,ENSG00000181555,,ferrdb_driver,protein
1002,Q08050,uniprot_id,FOXM1,Q08050,HGNC:3818,ENSG00000111206,,ferrdb_driver,protein
1001,Q08J23,uniprot_id,NSUN2,Q08J23,HGNC:25994,ENSG00000037474,,ferrdb_driver,protein
1000,Q9BYJ9,uniprot_id,YTHDF1,Q9BYJ9,HGNC:15867,ENSG00000149658,,ferrdb_driver,protein
999,P16220,uniprot_id,CREB1,P16220,HGNC:2345,ENSG00000118260,,ferrdb_driver,protein
998,P00966,uniprot_id,ASS1,P00966,HGNC:758,ENSG00000130707,,ferrdb_driver,protein
997,O95881,uniprot_id,TXNDC12,O95881,HGNC:24626,ENSG00000117862,,ferrdb_driver,protein
996,Q5ZPR3,uniprot_id,CD276,Q5ZPR3,HGNC:19137,ENSG00000103855,,ferrdb_driver,protein
1021,Q99873,uniprot_id,PRMT1,Q99873,HGNC:5187,ENSG00000126457,,ferrdb_driver,protein
1023,Q9UJ72,uniprot_id,ANXA10,Q9UJ72,HGNC:534,ENSG00000109511,,ferrdb_driver,protein
575,Q00653,uniprot_id,NFKB2,Q00653,HGNC:7795,ENSG00000077150,,ferrdb_suppressor,protein
