,name,primary_id_type,display_name,uniprot_id,hgnc_id,ensg_id,effect_on_ferroptosis,source_table,type
0,Q9UPY5,uniprot_id,SLC7A11,Q9UPY5,HGNC:11059,ENSG00000151012,,ferrdb_suppressor,protein
1,P36969,uniprot_id,GPX4,P36969,HGNC:4556,ENSG00000167468,,ferrdb_suppressor,protein
2,Q04828,uniprot_id,AKR1C1,Q04828,HGNC:384,ENSG00000187134,,ferrdb_suppressor,protein
3,P52895,uniprot_id,AKR1C2,P52895,HGNC:385,ENSG00000151632,,ferrdb_suppressor,protein
4,P42330,uniprot_id,AKR1C3,P42330,HGNC:386,ENSG00000196139,,ferrdb_suppressor,protein
5,P06400,uniprot_id,RB1,P06400,HGNC:9884,ENSG00000139687,,ferrdb_suppressor,protein
6,P04792,uniprot_id,HSPB1,P04792,HGNC:5246,ENSG00000106211,,ferrdb_suppressor,protein
7,Q00613,uniprot_id,HSF1,Q00613,HGNC:5224,ENSG00000185122,,ferrdb_suppressor,protein
8,Q16236,uniprot_id,NFE2L2,Q16236,HGNC:7782,ENSG00000116044,,ferrdb_suppressor,protein
9,Q13501,uniprot_id,SQSTM1,Q13501,HGNC:11280,ENSG00000161011,,ferrdb_suppressor,protein
10,P15559,uniprot_id,NQO1,P15559,HGNC:2874,ENSG00000181019,,ferrdb_suppressor,protein
11,P09601,uniprot_id,HMOX1,P09601,HGNC:5013,ENSG00000100292,,ferrdb_suppressor,protein
12,P02794,uniprot_id,FTH1,P02794,HGNC:3976,ENSG00000167996,,ferrdb_suppressor,protein
13,P15941,uniprot_id,MUC1,P15941,HGNC:7508,ENSG00000185499,,ferrdb_suppressor,protein
14,P13640,uniprot_id,MT1G,P13640,HGNC:7399,ENSG00000125144,,ferrdb_suppressor,protein
15,Q9NP59,uniprot_id,SLC40A1,Q9NP59,HGNC:10909,ENSG00000138449,,ferrdb_suppressor,protein
16,Q9NZ45,uniprot_id,CISD1,Q9NZ45,HGNC:30880,ENSG00000122873,,ferrdb_suppressor,protein
17,P11021,uniprot_id,HSPA5,P11021,HGNC:5238,ENSG00000044574,,ferrdb_suppressor,protein
18,P18848,uniprot_id,ATF4,P18848,HGNC:786,ENSG00000128272,,ferrdb_suppressor,protein
19,P04637,uniprot_id,TP53,P04637,HGNC:11998,ENSG00000141510,,ferrdb_suppressor,protein
20,Q9NRZ9,uniprot_id,HELLS,Q9NRZ9,HGNC:4861,ENSG00000119969,,ferrdb_suppressor,protein
21,O00767,uniprot_id,SCD,O00767,HGNC:10571,ENSG00000099194,,ferrdb_suppressor,protein
22,O95864,uniprot_id,FADS2,O95864,HGNC:3575,ENSG00000134824,,ferrdb_suppressor,protein
23,P12931,uniprot_id,SRC,P12931,HGNC:11283,ENSG00000197122,,ferrdb_suppressor,protein
24,P40763,uniprot_id,STAT3,P40763,HGNC:11364,ENSG00000168610,,ferrdb_suppressor,protein
25,P29590,uniprot_id,PML,P29590,HGNC:9113,ENSG00000140464,,ferrdb_suppressor,protein
26,Q9Y697,uniprot_id,NFS1,Q9Y697,HGNC:15910,ENSG00000244005,,ferrdb_suppressor,protein
27,Q9H3D4,uniprot_id,TP63,Q9H3D4,HGNC:15979,ENSG00000073282,,ferrdb_suppressor,protein
28,P38936,uniprot_id,CDKN1A,P38936,HGNC:1784,ENSG00000124762,,ferrdb_suppressor,protein
29,P45880,uniprot_id,VDAC2,P45880,HGNC:12672,ENSG00000165637,,ferrdb_suppressor,protein
30,P07954,uniprot_id,FH,P07954,HGNC:3700,ENSG00000091483,,ferrdb_suppressor,protein
31,Q8N5K1,uniprot_id,CISD2,Q8N5K1,HGNC:24212,ENSG00000145354,,ferrdb_suppressor,protein
32,P35520,uniprot_id,CBS,P35520,HGNC:1550,ENSG00000160200,,ferrdb_suppressor,protein
33,Q9H1K1,uniprot_id,ISCU,Q9H1K1,HGNC:29882,ENSG00000136003,,ferrdb_suppressor,protein
34,O95573,uniprot_id,ACSL3,O95573,HGNC:3570,ENSG00000123983,,ferrdb_suppressor,protein
35,Q96FW1,uniprot_id,OTUB1,Q96FW1,HGNC:23077,ENSG00000167770,,ferrdb_suppressor,protein
36,P16070,uniprot_id,CD44,P16070,HGNC:1681,ENSG00000026508,,ferrdb_suppressor,protein
37,O60885,uniprot_id,BRD4,O60885,HGNC:13575,ENSG00000141867,,ferrdb_suppressor,protein
38,P30041,uniprot_id,PRDX6,P30041,HGNC:16753,ENSG00000117592,,ferrdb_suppressor,protein
39,P58004,uniprot_id,SESN2,P58004,HGNC:20746,ENSG00000130766,,ferrdb_suppressor,protein
40,P35240,uniprot_id,NF2,P35240,HGNC:7773,ENSG00000186575,,ferrdb_suppressor,protein
41,O00327,uniprot_id,ARNTL,O00327,HGNC:701,ENSG00000133794,,ferrdb_suppressor,protein
42,Q16665,uniprot_id,HIF1A,Q16665,HGNC:4910,ENSG00000100644,,ferrdb_suppressor,protein
43,Q16790,uniprot_id,CA9,Q16790,HGNC:1383,ENSG00000107159,,ferrdb_suppressor,protein
44,Q9HC24,uniprot_id,TMBIM4,Q9HC24,HGNC:24257,ENSG00000155957,,ferrdb_suppressor,not sure
45,Q9BRQ8,uniprot_id,AIFM2,Q9BRQ8,HGNC:21411,ENSG00000042286,,ferrdb_suppressor,protein
46,P13473,uniprot_id,LAMP2,P13473,HGNC:6501,ENSG00000005893,,ferrdb_suppressor,protein
47,P26651,uniprot_id,ZFP36,P26651,HGNC:12862,ENSG00000128016,,ferrdb_suppressor,protein
48,Q8N271,uniprot_id,PROM2,Q8N271,HGNC:20685,ENSG00000155066,,ferrdb_suppressor,protein
49,Q9NZZ3,uniprot_id,CHMP5,Q9NZZ3,HGNC:26942,ENSG00000086065,,ferrdb_suppressor,protein
50,Q96FZ7,uniprot_id,CHMP6,Q96FZ7,HGNC:25675,ENSG00000176108,,ferrdb_suppressor,protein
51,Q03135,uniprot_id,CAV1,Q03135,HGNC:1527,ENSG00000105974,,ferrdb_suppressor,protein
52,P30793,uniprot_id,GCH1,P30793,HGNC:4193,ENSG00000131979,,ferrdb_suppressor,protein
53,Q9NTG7,uniprot_id,SIRT3,Q9NTG7,HGNC:14931,ENSG00000142082,,ferrdb_suppressor,protein
54,O00625,uniprot_id,PIR,O00625,HGNC:30048,ENSG00000087842,,ferrdb_suppressor,protein
55,P48506,uniprot_id,GCLC,P48506,HGNC:4311,ENSG00000001084,,ferrdb_suppressor,protein
56,Q9BXC0,uniprot_id,HCAR1,Q9BXC0,HGNC:4532,ENSG00000196917,,ferrdb_suppressor,not sure
57,P53985,uniprot_id,SLC16A1,P53985,HGNC:10922,ENSG00000155380,,ferrdb_suppressor,not sure
58,P31350,uniprot_id,RRM2,P31350,HGNC:10452,ENSG00000171848,,ferrdb_suppressor,protein
59,P36956,uniprot_id,SREBF1,P36956,HGNC:11289,ENSG00000072310,,ferrdb_suppressor,protein
60,Q12772,uniprot_id,SREBF2,Q12772,HGNC:11290,ENSG00000198911,,ferrdb_suppressor,not sure
61,O75084,uniprot_id,FZD7,O75084,HGNC:4045,ENSG00000155760,,ferrdb_suppressor,protein
62,O15382,uniprot_id,BCAT2,O15382,HGNC:977,ENSG00000105552,,ferrdb_suppressor,protein
63,O60733,uniprot_id,PLA2G6,O60733,HGNC:9039,ENSG00000184381,,ferrdb_suppressor,protein
64,Q99497,uniprot_id,PARK7,Q99497,HGNC:16369,ENSG00000116288,,ferrdb_suppressor,protein
65,Q16595,uniprot_id,FXN,Q16595,HGNC:3951,ENSG00000165060,,ferrdb_suppressor,protein
66,O43463,uniprot_id,SUV39H1,O43463,HGNC:11479,ENSG00000101945,,ferrdb_suppressor,protein
67,P15336,uniprot_id,ATF2,P15336,HGNC:784,ENSG00000115966,,ferrdb_suppressor,protein
68,Q15831,uniprot_id,STK11,Q15831,HGNC:11389,ENSG00000118046,,ferrdb_suppressor,not sure
69,P12830,uniprot_id,CDH1,P12830,HGNC:1748,ENSG00000039068,,ferrdb_suppressor,protein
70,Q96PU5,uniprot_id,NEDD4L,Q96PU5,HGNC:7728,ENSG00000049759,,ferrdb_suppressor,protein
71,P02787,uniprot_id,TF,P02787,HGNC:11740,ENSG00000091513,,ferrdb_suppressor,protein
72,Q8N4E7,uniprot_id,FTMT,Q8N4E7,HGNC:17345,ENSG00000181867,,ferrdb_suppressor,protein
73,Q16698,uniprot_id,DECR1,Q16698,HGNC:2753,ENSG00000104325,,ferrdb_suppressor,protein
74,Q86SX6,uniprot_id,GLRX5,Q86SX6,HGNC:20134,ENSG00000182512,,ferrdb_suppressor,protein
75,Q96RD6,uniprot_id,PANX2,Q96RD6,HGNC:8600,ENSG00000073150,,ferrdb_suppressor,protein
76,P05549,uniprot_id,TFAP2A,P05549,HGNC:11742,ENSG00000137203,,ferrdb_suppressor,protein
77,P00450,uniprot_id,CP,P00450,HGNC:2295,ENSG00000047457,,ferrdb_suppressor,protein
78,P62330,uniprot_id,ARF6,P62330,HGNC:659,ENSG00000165527,,ferrdb_suppressor,protein
79,Q99988 ,uniprot_id,GDF15,Q99988 ,HGNC:30142,ENSG00000130513,,ferrdb_suppressor,protein
80,Q8N2K0,uniprot_id,ABHD12,Q8N2K0,HGNC:15868,ENSG00000100997,,ferrdb_suppressor,protein
81,Q00059,uniprot_id,TFAM,Q00059,HGNC:11741,ENSG00000108064,,ferrdb_suppressor,protein
82,Q7LBC6,uniprot_id,KDM3B,Q7LBC6,HGNC:1337,ENSG00000120733,,ferrdb_suppressor,protein
83,O15541,uniprot_id,RNF113A ,O15541,HGNC:12974,ENSG00000125352,,ferrdb_suppressor,not sure
84,P48735,uniprot_id,IDH2,P48735,HGNC:5383,ENSG00000182054,,ferrdb_suppressor,protein
85,Q07869,uniprot_id,PPARA,Q07869,HGNC:9232,ENSG00000186951,,ferrdb_suppressor,protein
86,O43255,uniprot_id,SIAH2,O43255,HGNC:10858,ENSG00000181788,,ferrdb_suppressor,protein
87,P54646 ,uniprot_id,PRKAA2,P54646 ,HGNC:9377,ENSG00000162409,,ferrdb_suppressor,protein
88,P46934,uniprot_id,NEDD4,P46934,HGNC:7727,ENSG00000069869,,ferrdb_suppressor,protein
89,P10275,uniprot_id,AR,P10275,HGNC:644,ENSG00000169083,,ferrdb_suppressor,protein
90,Q14872,uniprot_id,MTF1,Q14872,HGNC:7428,ENSG00000188786,,ferrdb_suppressor,protein
91,P61923,uniprot_id,COPZ1,P61923,HGNC:2243,ENSG00000111481,,ferrdb_suppressor,protein
92,O60356,uniprot_id,NUPR1,O60356,HGNC:29990,ENSG00000176046,,ferrdb_suppressor,protein
93,Q9P2H5,uniprot_id,USP35,Q9P2H5,HGNC:20061,ENSG00000118369,,ferrdb_suppressor,protein
94,Q86YH6,uniprot_id,PDSS2,Q86YH6,HGNC:23041,ENSG00000164494,,ferrdb_suppressor,protein
95,P17174,uniprot_id,GOT1,P17174,HGNC:4432,ENSG00000120053,,ferrdb_suppressor,protein
96,Q9HBH7,uniprot_id,BEX1,Q9HBH7,HGNC:1036,ENSG00000133169,,ferrdb_suppressor,protein
97,P15090,uniprot_id,FABP4,P15090,HGNC:3559,ENSG00000170323,,ferrdb_suppressor,protein
98,Q96EB6,uniprot_id,SIRT1,Q96EB6,HGNC:14929,ENSG00000096717,,ferrdb_suppressor,protein
99,Q06418,uniprot_id,TYRO3,Q06418,HGNC:12446,ENSG00000092445,,ferrdb_suppressor,protein
100,Q8N6T7,uniprot_id,SIRT6,Q8N6T7,HGNC:14934,ENSG00000077463,,ferrdb_suppressor,protein
101,O95235,uniprot_id,KIF20A,O95235,HGNC:9787,ENSG00000112984,,ferrdb_suppressor,protein
102,Q13011,uniprot_id,ECH1,Q13011,HGNC:3149,ENSG00000104823,,ferrdb_suppressor,protein
103,P43268,uniprot_id,ETV4,P43268,HGNC:3493,ENSG00000175832,,ferrdb_suppressor,protein
104,P55072,uniprot_id,VCP,P55072,HGNC:12666,ENSG00000165280,,ferrdb_suppressor,protein
105,P29558,uniprot_id,RBMS1,P29558,HGNC:9907,ENSG00000153250,,ferrdb_suppressor,protein
106,O75164,uniprot_id,KDM4A,O75164,HGNC:22978,ENSG00000066135,,ferrdb_suppressor,protein
107,P10620,uniprot_id,MGST1,P10620,HGNC:7061,ENSG00000008394,,ferrdb_suppressor,protein
108,Q9Y5U8,uniprot_id,MPC1,Q9Y5U8,HGNC:21606,ENSG00000060762,,ferrdb_suppressor,protein
109,Q96RR4,uniprot_id,CAMKK2,Q96RR4,HGNC:1470,ENSG00000110931,,ferrdb_suppressor,protein
110,P48431,uniprot_id,SOX2,P48431,HGNC:11195,ENSG00000181449,,ferrdb_suppressor,protein
111,Q13242,uniprot_id,SRSF9,Q13242,HGNC:10791,ENSG00000111786,,ferrdb_suppressor,protein
112,Q06413,uniprot_id,MEF2C,Q06413,HGNC:6996,ENSG00000081189,,ferrdb_suppressor,protein
113,Q15910,uniprot_id,EZH2,Q15910,HGNC:3527,ENSG00000106462,,ferrdb_suppressor,protein
114,A5PLL7,uniprot_id,PEDS1,A5PLL7,HGNC:16735,ENSG00000240849,,ferrdb_suppressor,protein
115,P30304,uniprot_id,CDC25A,P30304,HGNC:1725,ENSG00000164045,,ferrdb_suppressor,protein
116,P11413,uniprot_id,G6PD,P11413,HGNC:4057,ENSG00000160211,,ferrdb_suppressor,protein
117,P80188,uniprot_id,LCN2,P80188,HGNC:6526,ENSG00000148346,,ferrdb_suppressor,protein
118,Q92519,uniprot_id,TRIB2,Q92519,HGNC:30809,ENSG00000071575,,ferrdb_suppressor,protein
119,Q02127,uniprot_id,DHODH,Q02127,HGNC:2867,ENSG00000102967,,ferrdb_suppressor,protein
120,Q16654,uniprot_id,PDK4,Q16654,HGNC:8812,ENSG00000004799,,ferrdb_suppressor,protein
121,P05231,uniprot_id,IL6,P05231,HGNC:6018,ENSG00000136244,,ferrdb_suppressor,protein
122,Q99952,uniprot_id,PTPN18,Q99952,HGNC:9649,ENSG00000072135,,ferrdb_suppressor,protein
123,P02792,uniprot_id,FTL,P02792,HGNC:3999,ENSG00000087086,,ferrdb_suppressor,protein
124,O15440,uniprot_id,ABCC5,O15440,HGNC:56,ENSG00000114770,,ferrdb_suppressor,protein
125,P0C7P0,uniprot_id,CISD3,P0C7P0,HGNC:27578,ENSG00000277972,,ferrdb_suppressor,protein
