,unique_id,target_id,regulator_id,disease_id,drug_id,unique_id,Regulation,drug2ferroptosis,drug2regulator,drug2target,regulator to target gene,regulator2ferroptosis,target_role4ferroptosis,Vivo model,ReferenceID,disease_detail_icd,disease_detail,in_vitro,Cell Line,pathway_id,Cell_progress
0,unique00516,Q16236,Q96EB6,ICD-11: 1G40,Iridin,unique00516,Sepsis-associated acute kidney injury induced ferroptosis by increasing iron and lipid peroxidation. Irisin effectively suppressed ferroptosis and alleviated SA-AKI and improved the mitochondria functionviainduction of the SIRT1/Nrf2 signal axis.,Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"All animals were purchased from the Animal Experimental Center of Wuhan University (ABLS-III Laboratory). C57BL/6 male mice weighing 20-25 g were used for this study. HK-2 cells were seeded into 96-well plates (5 x 10<sup>5</sup> cells/well) and cultured for 24 h until 80% confluence. Subsequently, we have added LPS (10 ug/ml) into the cultured cells for 22 h to establish the cell model of LPS-induced AKI.",REF000705,ICD-11: 1G40,Sepsis-associated acute kidney injury,CELL00093,HK-2,Ferroptosis (hsa04216),Cell ferroptosis
1,unique00516,Q16236,Q96EB6,ICD-11: 1G40,Iridin,unique00516,Sepsis-associated acute kidney injury induced ferroptosis by increasing iron and lipid peroxidation. Irisin effectively suppressed ferroptosis and alleviated SA-AKI and improved the mitochondria functionviainduction of the SIRT1/Nrf2 signal axis.,Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"All animals were purchased from the Animal Experimental Center of Wuhan University (ABLS-III Laboratory). C57BL/6 male mice weighing 20-25 g were used for this study. HK-2 cells were seeded into 96-well plates (5 x 10<sup>5</sup> cells/well) and cultured for 24 h until 80% confluence. Subsequently, we have added LPS (10 ug/ml) into the cultured cells for 22 h to establish the cell model of LPS-induced AKI.",REF000705,ICD-11: 1G40,Sepsis-associated acute kidney injury,CELL00093,HK-2,Ferroptosis (hsa04216),Cell ferroptosis
2,unique00516,Q16236,Q96EB6,ICD-11: 1G40,Iridin,unique00516,Sepsis-associated acute kidney injury induced ferroptosis by increasing iron and lipid peroxidation. Irisin effectively suppressed ferroptosis and alleviated SA-AKI and improved the mitochondria functionviainduction of the SIRT1/Nrf2 signal axis.,Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"All animals were purchased from the Animal Experimental Center of Wuhan University (ABLS-III Laboratory). C57BL/6 male mice weighing 20-25 g were used for this study. HK-2 cells were seeded into 96-well plates (5 x 10<sup>5</sup> cells/well) and cultured for 24 h until 80% confluence. Subsequently, we have added LPS (10 ug/ml) into the cultured cells for 22 h to establish the cell model of LPS-induced AKI.",REF000705,ICD-11: 1G40,Sepsis-associated acute kidney injury,CELL00093,HK-2,Ferroptosis (hsa04216),Cell ferroptosis
3,unique00516,Q16236,Q96EB6,ICD-11: 1G40,Iridin,unique00516,Sepsis-associated acute kidney injury induced ferroptosis by increasing iron and lipid peroxidation. Irisin effectively suppressed ferroptosis and alleviated SA-AKI and improved the mitochondria functionviainduction of the SIRT1/Nrf2 signal axis.,Suppressor,Up regulation,Up regulation,Up regulation,Suppressor,Marker/Suppressor,"All animals were purchased from the Animal Experimental Center of Wuhan University (ABLS-III Laboratory). C57BL/6 male mice weighing 20-25 g were used for this study. HK-2 cells were seeded into 96-well plates (5 x 10<sup>5</sup> cells/well) and cultured for 24 h until 80% confluence. Subsequently, we have added LPS (10 ug/ml) into the cultured cells for 22 h to establish the cell model of LPS-induced AKI.",REF000705,ICD-11: 1G40,Sepsis-associated acute kidney injury,CELL00093,HK-2,Ferroptosis (hsa04216),Cell ferroptosis
4,unique00080,P02794,Q9GZQ8,ICD-11: 2A00,Amentoflavone,unique00080,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
5,unique00080,P02794,Q9GZQ8,ICD-11: 2A00,Amentoflavone,unique00080,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
6,unique00078,P02794,Q9H1Y0,ICD-11: 2A00,Amentoflavone,unique00078,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
7,unique00078,P02794,Q9H1Y0,ICD-11: 2A00,Amentoflavone,unique00078,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
8,unique00079,P02794,O95352,ICD-11: 2A00,Amentoflavone,unique00079,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
9,unique00079,P02794,O95352,ICD-11: 2A00,Amentoflavone,unique00079,"Amentoflavone (AF) triggered ferroptosis in autophagy-dependent manner. Furthermore, the expression of LC3B, Beclin1, ATG5, ATG7 were increased, and the expression of FTH were decreased by AF in a dose-dependent manner in vivo. AF has the potential to be considered as a novel treatment agent in glioma.",Inducer,Up regulation,Down regulation,Down regulation,Driver,Marker/Suppressor,"1 x 10<sup>7</sup> U251 cells were subcutaneously injected into the right back of the four-week-old BALB/c nude mice. After the tumor grown to 100 mm<sup>3</sup>, mice were randomly divided into 3 groups: mice in control group receivedintraperitoneal injectionof saline, while mice in AF treatment group received intraperitoneal injection at dosages of 40 mg/kg/day or 80 mg/kg/day, respectively.",REF000134,ICD-11: 2A00,Glioma,CELL00043; CELL00243,U251; U373,mTOR signaling pathway (hsa04150); Fatty acid metabolism (hsa01212); Autophagy (hsa04140),Cell ferroptosis; Cell autophagy; Cell proliferation
10,unique01630,P02794,P56270,ICD-11: 2A00,Dihydroartemisinin,unique01630,"Dihydroartemisinin (DHA) could promote ferroptosis in glioma cells. Low expression of GPX4 and high expression of HMOX1 were identified in DHA treated glioma cells. MAZ was further identified as the direct target of long noncoding RNA (lncRNA) TUG1 through luciferase assay. Downregulated expression of TUG1 and upregulated expression of MAZ were identified in DHA treated glioma cells. TUG1 overexpression or inhibition of FTH1 expression could enhance the antiglioma effect of DHA in vitro and in vivo, providing a promising strategy to enhance the antitumor effect of DHA in glioma.",Inducer,Up regulation,Up regulation,Up regulation,Driver,Marker,"All BALB/C nude mice were purchased from Huafukang Biotechnology (Beijing, China). These mice were 5 weeks old and weighed 14-16 g. We established subcutaneous tumour-forming mouse model by injecting 5 x 10<sup>6</sup> U87 cells into the lateral abdomen of BALB/C nude mice. Animals were then treated with DHA solvent (50 mg/kg) by intragastric administration once a day for 26 days.",REF000843,ICD-11: 2A00,Glioma,CELL00295; CELL00043,U87; U251,Ferroptosis (hsa04216),Cell ferroptosis
