"RCD","Symbol","HGNC_ID","ENSG_stable","Dependence","Evidence","Exp_organism","Pathway","Confidence","Experiments","Caution","UniProtAC","PMID","Remark","Latest_update","Data_source","Gene_type_hgnc_locus_type_or_other"
"Ferroptosis","SLC7A11","HGNC:11059","ENSG00000151012","_NA_","Silencing of SLC7A11 sensitized HT-1080 cells to erastin-induced death, whereas transfection of HT-1080 cells with a plasmid encoding SLC7A11 conferred protection from erastin- and sulfasalazine-induced death.","Human","SLC7A11 :+: Cystine, Cystine :-: Ferroptosis","Validated",0,"_NA_","Q9UPY5","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GPX4","HGNC:4556","ENSG00000167468","_NA_","RNAi-mediated GPX4 knockdown induces ferroptosis.","Human, mice","GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","P36969","24439385","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","AKR1C1","HGNC:384","ENSG00000187134","_NA_","Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.","Human","AKR1C1 :-: Ferroptosis","Validated",0,"_NA_","Q04828","24844246","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","AKR1C2","HGNC:385","ENSG00000151632","_NA_","Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.","Human","AKR1C2 :-: Ferroptosis","Validated",0,"_NA_","P52895","24844246","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","AKR1C3","HGNC:386","ENSG00000196139","_NA_","Up-regulated in DU-145 erastin-resistant clones. Participate in the detoxification of toxic lipid metabolites. May confer partial resistance to erastin by enhancing the detoxification of reactive aldehydes generated downstream of the oxidative destruction of the plasma membrane during ferroptosis.","Human","AKR1C3 :-: Ferroptosis","Validated",0,"_NA_","P42330","24844246","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GPX4","HGNC:4556","ENSG00000167468","_NA_","Knockout of glutathione peroxidase 4 (Gpx4) causes cell death in a pathologically relevant form of ferroptosis. Knockdown renders cells more sensitive to ferroptosis-inducing agents.","Human, mice","GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","P36969","25402683","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","RB1","HGNC:9884","ENSG00000139687","_NA_","Rb knock-down cells exposed to sorafenib encounter ferroptosis. Lack of Rb sensitized HCC cells to the induction of ferroptosis.","Human, mice","RB1 :-: Ferroptosis","Validated",0,"_NA_","P06400","25444922","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","HSPB1","HGNC:5246","ENSG00000106211","_NA_","Knockdown of HSF1 and HSPB1 enhances erastin-induced ferroptosis, whereas heat shock pretreatment and overexpression of HSPB1 inhibits erastin-induced ferroptosis.","Human, mice","HSPB1 :-: Ferroptosis","Validated",0,"_NA_","P04792","25728673","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","HSF1","HGNC:5224","ENSG00000185122","_NA_","Knockdown of HSF1 and HSPB1 enhances erastin-induced ferroptosis, whereas heat shock pretreatment and overexpression of HSPB1 inhibits erastin-induced ferroptosis.","Human, mice","HSF1 :-: Ferroptosis","Validated",0,"_NA_","Q00613","25728673","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SLC7A11","HGNC:11059","ENSG00000151012","_NA_","Overexpressed in human cancer specimens. Overexpression inhibits ROS-induced ferroptosis.","Human, mice","SLC7A11 :+: Cystine, Cystine :-: Ferroptosis","Validated",0,"_NA_","Q9UPY5","25799988","_NA_",2020-12-31,"FerrDb team","gene with protein product"
