"RCD","Symbol_or_reported_abbr","HGNC_ID","ENSG_stable","Dependence","Evidence","Exp_organism","Pathway","Confidence","Experiments","Caution","UniProtAC","PMID","Remark","Latest_update","Data_source","Gene_type_hgnc_locus_type_or_other"
"Ferroptosis","RPL8","HGNC:10368","ENSG00000161016","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","RPL8 :+: Ferroptosis","Validated",0,"_NA_","P62917","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","IREB2","HGNC:6115","ENSG00000136381","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","IREB2 :+: Ferroptosis","Validated",0,"_NA_","P48200","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ATP5MC3","HGNC:843","ENSG00000154518","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","ATP5MC3 :+: Ferroptosis","Validated",0,"_NA_","P48201","22632970","ATP5G3 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","CS","HGNC:2422","ENSG00000062485","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","CS :+: Ferroptosis","Validated",0,"_NA_","O75390","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","EMC2","HGNC:28963","ENSG00000104412","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","EMC2 :+: Ferroptosis","Validated",0,"_NA_","Q15006","22632970","TTC35 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACSF2","HGNC:26101","ENSG00000167107","_NA_","Required in erastin-induced ferroptosis. Silencing of it conferred against erastin-induced ferroptosis.","Human","ACSF2 :+: Ferroptosis","Validated",0,"_NA_","Q96CM8","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NOX1","HGNC:7889","ENSG00000007952","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","NOX1 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q9Y5S8","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","CYBB","HGNC:2578","ENSG00000165168","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","CYBB :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","P04839","22632970","NOX2 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NOX3","HGNC:7890","ENSG00000074771","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","NOX3 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q9HBY0","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NOX4","HGNC:7891","ENSG00000086991","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","NOX4 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q9NPH5","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NOX5","HGNC:14874","ENSG00000255346","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","NOX5 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q96PH1","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","DUOX1","HGNC:3062","ENSG00000137857","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","DUOX1 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q9NRD9","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","DUOX2","HGNC:13273","ENSG00000140279","_NA_","Suppresses erastin-induced ferroptosis when inhibited by inhibitor.","Human","DUOX2 :+: Ferroptosis","Deduced",0,"The presented inhibition study is not sufficient to confirm its role in ferroptosis.","Q9NRD8","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","G6PD","HGNC:4057","ENSG00000160211","_NA_","Required in erastin-induced ferroptosis.","Human","G6PD :+: Ferroptosis","Validated",0,"_NA_","P11413","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","PGD","HGNC:8891","ENSG00000142657","_NA_","Required in erastin-induced ferroptosis.","Human","PGD :+: Ferroptosis","Validated",0,"_NA_","P52209","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","VDAC2","HGNC:12672","ENSG00000165637","_NA_","Required in erastin-induced ferroptosis.","Human","VDAC2 :+: Ferroptosis","Validated",0,"_NA_","P45880","22632970","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","PIK3CA","HGNC:8975","ENSG00000121879","_NA_","Inhibitor blocked ferroptotic cell death.","Mice","PIK3CA :-: GSH, GSH :-: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"Also involved in necrosis and apoptosis.","P42336","24739485","PI3Kalpha in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","FLT3","HGNC:3765","ENSG00000122025","_NA_","Inhibitor blocked ferroptotic cell death.","Mice","FLT3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"Also involved in necrosis and apoptosis.","P36888","24739485","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SCP2","HGNC:10606","ENSG00000116171","_NA_","SCP-2 inhibitors showed anti-ferroptotic activity, which was substantiated by knocking down SCP-2 in Gpx4−/− cells.","Mice","SCP2 :+: Ferroptosis","Validated",0,"Transient effect. Other translocases may work in parallel.","P22307","25402683","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TP53","HGNC:11998","ENSG00000141510","_NA_","Inhibits cystine uptake and sensitizes cells to ferroptosis. Erastin induced high levels of cell death in p53+/+ MEFs.","Human, mice","TP53 :-: SLC7A11, SLC7A11 :+: Cystine, Cystine :-: Ferroptosis","Validated",0,"The acetylation-defective mutant (p53[3KR]) also retains the ability to induce ferroptosis upon reactive oxygen species (ROS)-induced stress.","P04637","25799988","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ACSL4","HGNC:3571","ENSG00000068366","_NA_","Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.","Human","ACSL4 :+: Ferroptosis","Predicted",0,"Author prediction based on gene function.","O60488","25965523","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","LPCAT3","HGNC:30244","ENSG00000111684","_NA_","Deletion of this gene likely suppress ferroptosis by limiting the membrane-resident pool of oxidation-sensitive fatty acids.","Human","LPCAT3 :+: Ferroptosis","Predicted",0,"Author prediction based on gene function.","Q6P1A2","25965523","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","NRAS","HGNC:7989","ENSG00000213281","_NA_","NRAS12V mutant protects RMS13 cells from ferroptotic cell death.","Human","NRAS :+: Ferroptosis","Deduced",0,"Inferred as a promoter because RAS mutant is resistant to ferroptosis.","P01111","26157704","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","KRAS","HGNC:6407","ENSG00000133703","_NA_","KRAS12V mutant protects RMS13 cells from ferroptotic cell death.","Human","KRAS :+: Ferroptosis","Deduced",0,"Inferred as a promoter because RAS mutant is resistant to ferroptosis.","P01116","26157704","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","HRAS","HGNC:5173","ENSG00000174775","_NA_","HRAS12V mutant protects RMS13 cells from ferroptotic cell death.","Human","HRAS :+: Ferroptosis","Deduced",0,"Inferred as a promoter because RAS mutant is resistant to ferroptosis.","P01112","26157704","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TF","HGNC:11740","ENSG00000091513","_NA_","Essential for the induction of ferroptotic cell death. Transferrin can only interact with transferrin receptor and be transported into the cell when it is loaded with iron.","Mice","TF :+: Ferroptosis","Validated",0,"Recognized as a suppressor in other studies.","P02787","26166707","Transferrin in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TFRC","HGNC:11763","ENSG00000072274","_NA_","RNAi of transferrin receptor (TfR) inhibited ferroptosis.","Mice","TFRC :+: Ferroptosis","Validated",0,"_NA_","P02786","26166707","Tfr in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TFR2","HGNC:11762","ENSG00000106327","_NA_","RNAi of transferrin receptor (TfR) inhibited ferroptosis.","Mice","TFR2 :+: Ferroptosis","Validated",0,"_NA_","Q9UP52","26166707","Tfr in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SLC38A1","HGNC:13447","ENSG00000111371","_NA_","RNAi knockdown markedly blocked ferroptosis.","Mice","SLC38A1 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis","Validated",0,"_NA_","Q9H2H9","26166707","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","SLC1A5","HGNC:10943","ENSG00000105281","_NA_","Pharmacological inhibition by L-g-glutamyl-p-nitroanilide or RNAi knockdown markedly blocked ferroptosis.","Mice","SLC1A5 :+: Glutamine, Glutamine :+: Glutamate, Glutamate :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis","Validated",0,"_NA_","Q15758","26166707","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GLS2","HGNC:29570","ENSG00000135423","_NA_","Both inhibitor inhibition and gene knockdown inhibit ferroptotic cell death.","Mice","GSL2 :+: Glutamate, Glutamate :+: Ferroptosis","Validated",0,"_NA_","Q9UI32","26166707","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","GOT1","HGNC:4432","ENSG00000120053","_NA_","RNAi reduced ferroptosis.","Mice","GOT1 :+: alpha-Ketoglutarate, alpha-Ketoglutarate :+: Ferroptosis","Validated",0,"_NA_","P17174","26166707","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","CARS1","HGNC:1493","ENSG00000110619","_NA_","Required for ferroptosis in diverse cell contexts. Knockdown of CARS inhibited erastin-induced death by preventing the induction of lipid reactive oxygen species, without altering iron homeostasis.","Human, rat","CARS1 :-: Transsulfuration pathway, Transsulfuration pathway :-: Ferroptosis","Validated",0,"_NA_","P49589","26184909","CARS in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TP53","HGNC:11998","ENSG00000141510","_NA_","Wild type p53 can induce ferroptosis upon reactive oxygen species (ROS)-induced stress.","Human","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis","Validated",0,"_NA_","P04637","26218928","p53 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","ALOX5","HGNC:435","ENSG00000012779","_NA_","The 5-Lipoxygenase inhibitor zileuton protected HT22 neuronal cells from erastin-induced ferroptosis.","Mice","ALOX5 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"_NA_","P09917","26235588","5-LOX in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","KEAP1","HGNC:23177","ENSG00000079999","_NA_","Knockdown of Keap1 reversed loss of p62-increased degradation of NRF2 in ferroptosis. Keap1 knockdown led to resistance to erastin-induced and sorafenib-induced growth inhibition with decreased ferroptotic events in the absence or presence of p62 knockdown.","Human, mice","KEAP1 :-: NFE2L2, NFE2L2 :-: Ferroptosis","Validated",0,"_NA_","Q14145","26403645","_NA_",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","HMOX1","HGNC:5013","ENSG00000100292","_NA_","Zinc protoporphyrin IX, a HO-1 inhibitor, prevented Erastin-triggered ferroptotic cancer cell death. Overexpression accelerates erastin-induced cell death.","Human, mice","HMOX1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis","Validated",0,"Other articles (PMID 26403645, 28515173) suggest it a suppressor.","P09601","26405158","HO-1 in article",2020-12-31,"FerrDb team","gene with protein product"
"Ferroptosis","TP53","HGNC:11998","ENSG00000141510","_NA_","p53^3KR/3KR Xrcc4^-/- MEF cells are very sensitive to ferroptosis. Stabilized in the spleens of p53^3KR/3KR Xrcc4^-/- mice which enables to prevent the development of pro-B-cell lymphomas.","Mice","TP53 :-: SLC7A11, SLC7A11 :-: Ferroptosis","Validated",0,"_NA_","P04637","26943586","p53 in article",2020-12-31,"FerrDb team","gene with protein product"
