id,rcd,symbol,hgncid,ensgstable,evidence,testin,pathway,confidence,experiments,caution,uniprotac,pmid,remark,latestupdate,datasource,uniformgenetype
1,Ferroptosis,DUSP1,HGNC:3064,ENSG00000120129,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,DUSP1 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P28562,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
2,Ferroptosis,NOS2,HGNC:7873,ENSG00000007171,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,NOS2 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P35228,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
3,Ferroptosis,NCF2,HGNC:7661,ENSG00000116701,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,NCF2 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P19878,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
4,Ferroptosis,MT3,HGNC:7408,ENSG00000087250,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,MT3 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P25713,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
5,Ferroptosis,UBC,HGNC:12468,ENSG00000150991,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,UBC :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P0CG48,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
6,Ferroptosis,ALB,HGNC:399,ENSG00000163631,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,ALB :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P02768,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
7,Ferroptosis,TXNRD1,HGNC:12437,ENSG00000198431,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,TXNRD1 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,Q16881,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
8,Ferroptosis,SRXN1,HGNC:16132,ENSG00000271303,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,SRXN1 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,Q9BYN0,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
9,Ferroptosis,GPX2,HGNC:4554,ENSG00000176153,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,GPX2 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,P18283,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
10,Ferroptosis,BNIP3,HGNC:1084,ENSG00000176171,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,BNIP3 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,Q12983,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
11,Ferroptosis,OXSR1,HGNC:8508,ENSG00000172939,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,OXSR1 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,O95747,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
12,Ferroptosis,SELENOS,HGNC:30396,ENSG00000131871,Expression was upregulated during ferroptosis induced by erastin or RSL3.,Human,SELENOS :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,Q9BQE4,24439385,SELS in article. May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
13,Ferroptosis,ANGPTL7,HGNC:24078,ENSG00000171819,Expression was downregulated during ferroptosis induced by erastin or RSL3.,Human,ANGPTL7 :?: Ferroptosis,Deduced,0,Differentially expressed (|delta ct| > 2) under ferroptosis.,O43827,24439385,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
14,Ferroptosis,SLC7A11,HGNC:11059,ENSG00000151012,"Similar to erastin treatment, silencing of this gene inhibits glutamate release. Erastin specifically inhibits SLC7A11-dependent system Xc- function.",Human,SLC7A11 :?: Ferroptosis,Deduced,0,Further study needed to confirm connection to ferroptosis.,Q9UPY5,24844246,May inhibit ferroptosis.,2022/3/9,FerrDb team,gene with protein product
15,Ferroptosis,DDIT4,HGNC:24944,ENSG00000168209,Up-regulated (>= 2 fold) in erastin-treated samples.,Human,DDIT4 :?: Ferroptosis,Screened,0,Further study needed to confirm connection to ferroptosis.,Q9NX09,24844246,May promote ferroptosis.,2022/3/9,FerrDb team,gene with protein product
